
NOTICE: Existing SQLite export found: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.sqlite
        It is assumed file was previously exported from: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/cuda_gpu_trace.py]... 
Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
35810863,2208,52,19,1,1,128,1,1,28,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec
35837263,71776,55,1,118,1,128,1,1,128,0.000,0.082,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize64x96x64_stage4_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
35909807,1440,56,105,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,__myl_SiluMul_0x9f454cc6bd9fa35367d73674a8bd1d8c_vec
35911887,37664,57,1,64,1,128,1,1,56,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
35950255,2240,58,19,1,1,128,1,1,28,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec
35953167,18176,59,1,80,1,128,1,1,54,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
35972015,2304,67,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
35974991,2432,68,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
35978095,3488,70,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
36023504,15008,74,1,64,1,128,1,1,56,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36039152,2336,75,19,1,1,128,1,1,28,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec
36053744,73728,78,1,118,1,128,1,1,128,0.000,0.082,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize64x96x64_stage4_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36128176,1440,79,105,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,__myl_SiluMul_0x9f454cc6bd9fa35367d73674a8bd1d8c_vec
36130352,31936,80,1,64,1,128,1,1,56,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36162928,2240,81,19,1,1,128,1,1,28,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec
36165904,16608,82,1,80,1,128,1,1,54,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36183184,2336,90,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
36186160,2496,91,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
36189424,3456,93,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
36193616,13792,97,1,64,1,128,1,1,56,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36208016,2336,98,19,1,1,128,1,1,28,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec
36211088,71969,101,1,118,1,128,1,1,128,0.000,0.082,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize64x96x64_stage4_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36283697,1440,102,105,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,__myl_SiluMul_0x9f454cc6bd9fa35367d73674a8bd1d8c_vec
36285777,32288,103,1,64,1,128,1,1,56,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36318769,2400,104,19,1,1,128,1,1,28,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec
36321809,16864,105,1,80,1,128,1,1,54,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36339409,2304,113,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
36342353,2400,114,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
36345489,3456,116,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
36349713,13632,120,1,64,1,128,1,1,56,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36364113,2272,121,19,1,1,128,1,1,28,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec
36367057,71584,124,1,118,1,128,1,1,128,0.000,0.082,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize64x96x64_stage4_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36439313,1440,125,105,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,__myl_SiluMul_0x9f454cc6bd9fa35367d73674a8bd1d8c_vec
36441489,32193,126,1,64,1,128,1,1,56,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36474322,2272,127,19,1,1,128,1,1,28,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec
36477266,16928,128,1,80,1,128,1,1,54,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36494866,2432,136,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
36497970,2560,137,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
36501330,3488,139,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
36505458,13504,143,1,64,1,128,1,1,56,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36519698,2368,144,19,1,1,128,1,1,28,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec
36522706,73824,147,1,118,1,128,1,1,128,0.000,0.082,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize64x96x64_stage4_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36597266,1440,148,105,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,__myl_SiluMul_0x9f454cc6bd9fa35367d73674a8bd1d8c_vec
36599346,32384,149,1,64,1,128,1,1,56,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36632402,2304,150,19,1,1,128,1,1,28,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec
36635474,16704,151,1,80,1,128,1,1,54,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36652882,2336,159,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
36655858,2464,160,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
36659122,3488,162,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
36663346,13632,166,1,64,1,128,1,1,56,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36677618,2272,167,19,1,1,128,1,1,28,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec
36680562,71745,170,1,118,1,128,1,1,128,0.000,0.082,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize64x96x64_stage4_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36752947,1440,171,105,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,__myl_SiluMul_0x9f454cc6bd9fa35367d73674a8bd1d8c_vec
36755123,32064,172,1,64,1,128,1,1,56,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36787891,2240,173,19,1,1,128,1,1,28,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec
36790867,16640,174,1,80,1,128,1,1,54,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36808211,2304,182,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
36811251,2400,183,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
36814355,3488,185,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
36818483,13824,189,1,64,1,128,1,1,56,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36833011,2368,190,19,1,1,128,1,1,28,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec
36836051,71841,193,1,118,1,128,1,1,128,0.000,0.082,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize64x96x64_stage4_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36908596,1440,194,105,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,__myl_SiluMul_0x9f454cc6bd9fa35367d73674a8bd1d8c_vec
36910676,32128,195,1,64,1,128,1,1,56,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36943444,2240,196,19,1,1,128,1,1,28,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec
36946420,16864,197,1,80,1,128,1,1,54,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36963988,2432,205,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
36967060,2592,206,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
36970420,3520,208,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
36974708,13376,212,1,64,1,128,1,1,56,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
36988756,2272,213,19,1,1,128,1,1,28,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec
36991700,72288,216,1,118,1,128,1,1,128,0.000,0.082,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize64x96x64_stage4_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
37064660,1440,217,105,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,__myl_SiluMul_0x9f454cc6bd9fa35367d73674a8bd1d8c_vec
37066836,32000,218,1,64,1,128,1,1,56,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
37099540,2240,219,19,1,1,128,1,1,28,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec
37102516,16800,220,1,80,1,128,1,1,54,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
37120084,2304,228,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
37123124,2464,229,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
37126260,3521,231,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
37130517,13312,235,1,64,1,128,1,1,56,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
37144533,2208,236,19,1,1,128,1,1,28,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec
37147445,72032,239,1,118,1,128,1,1,128,0.000,0.082,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize64x96x64_stage4_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
37220117,1440,240,105,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,__myl_SiluMul_0x9f454cc6bd9fa35367d73674a8bd1d8c_vec
37222293,32544,241,1,64,1,128,1,1,56,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
37255605,2304,242,19,1,1,128,1,1,28,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec
37258581,16896,243,1,80,1,128,1,1,54,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
37276149,2336,251,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
37279125,2400,252,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
37282165,3488,254,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
37286421,13536,258,1,64,1,128,1,1,56,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
37300629,2240,259,19,1,1,128,1,1,28,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec
