
NOTICE: Existing SQLite export found: nvbugs_5615248/trtllm_bench/nsys_handoff_v2/pyt_beam10_handoff.sqlite
        It is assumed file was previously exported from: nvbugs_5615248/trtllm_bench/nsys_handoff_v2/pyt_beam10_handoff.nsys-rep
        Consider using --force-export=true if needed.

Processing [nvbugs_5615248/trtllm_bench/nsys_handoff_v2/pyt_beam10_handoff.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                 Name                
      0.0          2070454        439     4716.3     4330.0      3990     18260       1473.7  cudaStreamBeginCapture             
      0.0          1715772         70    24511.0    21115.0     10159     63350      12323.6  cudaMemGetInfo                     
      0.0          1545741        439     3521.1     3120.0      2709     79179       4076.3  cudaGraphDestroy                   
      0.0          1154448          4   288612.0   280682.0       620    592464     332701.2  cuLibraryGetGlobal                 
      0.0          1055180        796     1325.6     1405.0       270     14090       1185.0  cudaEventCreateWithFlags           
      0.0           852644         98     8700.4     6375.0      3010     29630       5694.8  cudaFreeHost                       
      0.0           786676        616     1277.1     1290.0       560     10680        800.3  cudaStreamWaitEvent                
      0.0           679094        439     1546.9     1470.0      1240      9570        469.2  cudaStreamEndCapture               
      0.0           555972        408     1362.7      975.0       580     18340       1395.4  cudaEventRecord                    
      0.0           424078        740      573.1      530.0       260      2880        265.2  cudaEventDestroy                   
      0.0           302988         44     6886.1     6505.0      5960     17230       1838.7  cudaMemset                         
      0.0           283540        439      645.9      560.0       500      8560        569.9  cudaGraphGetNodes                  
      0.0           226760        306      741.0      420.0       220      5320        928.3  cudaThreadExchangeStreamCaptureMode
      0.0           179928          1   179928.0   179928.0    179928    179928          0.0  cuMemAlloc_v2                      
      0.0           174757         86     2032.1      880.0       540     18340       2909.0  cuMemRetainAllocationHandle        
      0.0           173059          2    86529.5    86529.5     71410    101649      21382.2  cuKernelSetAttribute               
      0.0           142439          1   142439.0   142439.0    142439    142439          0.0  cuMemCreate                        
      0.0           106808          1   106808.0   106808.0    106808    106808          0.0  cudaMemPoolCreate                  
      0.0           105009          4    26252.3    26864.5     10920     40360      12446.4  cudaMemcpy                         
      0.0            92559          1    92559.0    92559.0     92559     92559          0.0  cuMemFree_v2                       
      0.0            90499          1    90499.0    90499.0     90499     90499          0.0  cuModuleLoadData                   
      0.0            70729          4    17682.3     7520.0      3940     51749      22799.3  cudaStreamDestroy                  
      0.0            69429          1    69429.0    69429.0     69429     69429          0.0  cudaMemPoolDestroy                 
      0.0            51799          6     8633.2     7690.0       630     18549       7060.1  cuCtxSetFlags                      
      0.0            35250         14     2517.9     2785.0       800      5650       1245.5  cuInit                             
      0.0            14199          1    14199.0    14199.0     14199     14199          0.0  cuMemGetAllocationGranularity      
      0.0             4660          3     1553.3     1990.0       670      2000        765.0  cudaMemPoolTrimTo                  
      0.0             3110          4      777.5      670.0       450      1320        407.0  cudaGetDeviceProperties            
      0.0             1650          1     1650.0     1650.0      1650      1650          0.0  cudaMemPoolSetAttribute            
      0.0             1450          9      161.1      130.0        90       230         52.3  cuModuleGetLoadingMode             
      0.0             1160          3      386.7      300.0       250       610        195.0  cudaGetDriverEntryPointByVersion   

