
NOTICE: Existing SQLite export found: nvbugs_5615248/trtllm_bench/nsys_handoff_v2/pyt_beam10_handoff.sqlite
        It is assumed file was previously exported from: nvbugs_5615248/trtllm_bench/nsys_handoff_v2/pyt_beam10_handoff.nsys-rep
        Consider using --force-export=true if needed.

Processing [nvbugs_5615248/trtllm_bench/nsys_handoff_v2/pyt_beam10_handoff.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_gpu_proj_sum.py]... 

 ** NVTX GPU Projection Summary (nvtx_gpu_proj_sum):

                               Range                                 Style   Total Proj Time (ns)  Total Range Time (ns)  Range Instances  Proj Avg (ns)  Proj Med (ns)  Proj Min (ns)  Proj Max (ns)  Proj StdDev (ns)  Total GPU Ops  Avg GPU Ops  Avg Range Lvl  Avg Num Child
 TensorRT-LLM:[Executor] _forward_step 77: 0 ctx reqs, 1 gen reqs   PushPop                252579                 793451                1       252579.0       252579.0         252579         252579               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 26: 0 ctx reqs, 1 gen reqs   PushPop                250787                 805941                1       250787.0       250787.0         250787         250787               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 34: 0 ctx reqs, 1 gen reqs   PushPop                250243                 799792                1       250243.0       250243.0         250243         250243               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 40: 0 ctx reqs, 1 gen reqs   PushPop                249058                 818751                1       249058.0       249058.0         249058         249058               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 35: 0 ctx reqs, 1 gen reqs   PushPop                247138                 817502                1       247138.0       247138.0         247138         247138               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 92: 0 ctx reqs, 1 gen reqs   PushPop                245059                 797131                1       245059.0       245059.0         245059         245059               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 68: 0 ctx reqs, 1 gen reqs   PushPop                243939                 786822                1       243939.0       243939.0         243939         243939               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 3: 0 ctx reqs, 1 gen reqs    PushPop                243458                 813041                1       243458.0       243458.0         243458         243458               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 52: 0 ctx reqs, 1 gen reqs   PushPop                243458                 793931                1       243458.0       243458.0         243458         243458               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 95: 0 ctx reqs, 1 gen reqs   PushPop                242594                 796382                1       242594.0       242594.0         242594         242594               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 90: 0 ctx reqs, 1 gen reqs   PushPop                242114                 799251                1       242114.0       242114.0         242114         242114               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 45: 0 ctx reqs, 1 gen reqs   PushPop                240610                 816511                1       240610.0       240610.0         240610         240610               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:pbs.cum_log_probs_zero                                PushPop                240450                 423495                7        34350.0        34145.0          33632          35616             636.1             21          3.0            5.0            0.0
 TensorRT-LLM:[Executor] _forward_step 75: 0 ctx reqs, 1 gen reqs   PushPop                238051                 802171                1       238051.0       238051.0         238051         238051               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:pbs.sampled_log_probs_zero                            PushPop                237538                 412646                7        33934.0        33696.0          33153          35232             777.0             21          3.0            5.0            0.0
 TensorRT-LLM:[Executor] _forward_step 57: 0 ctx reqs, 1 gen reqs   PushPop                237091                 798742                1       237091.0       237091.0         237091         237091               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 36: 0 ctx reqs, 1 gen reqs   PushPop                236546                 798121                1       236546.0       236546.0         236546         236546               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 91: 0 ctx reqs, 1 gen reqs   PushPop                236483                 792821                1       236483.0       236483.0         236483         236483               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 56: 0 ctx reqs, 1 gen reqs   PushPop                236035                 798792                1       236035.0       236035.0         236035         236035               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 44: 0 ctx reqs, 1 gen reqs   PushPop                234594                 791091                1       234594.0       234594.0         234594         234594               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 98: 0 ctx reqs, 1 gen reqs   PushPop                234082                 797292                1       234082.0       234082.0         234082         234082               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 38: 0 ctx reqs, 1 gen reqs   PushPop                233891                 800951                1       233891.0       233891.0         233891         233891               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 101: 0 ctx reqs, 1 gen reqs  PushPop                233218                 786881                1       233218.0       233218.0         233218         233218               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 79: 0 ctx reqs, 1 gen reqs   PushPop                232803                 798031                1       232803.0       232803.0         232803         232803               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:pbs.predecessor_beams_zero                            PushPop                231876                 408005                7        33125.1        32544.0          32064          35777            1270.7             21          3.0            5.0            0.0
 TensorRT-LLM:pbs.original_tokens_zero                              PushPop                231395                 388200                7        33056.4        32737.0          32416          34144             731.5             21          3.0            5.0            0.0
 TensorRT-LLM:[Executor] _forward_step 30: 0 ctx reqs, 1 gen reqs   PushPop                230466                 811201                1       230466.0       230466.0         230466         230466               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:pbs.first_finish_reasons_zero                         PushPop                229794                 411054                7        32827.7        32480.0          31584          35232            1229.9             21          3.0            5.0            0.0
 TensorRT-LLM:pbs.sampled_log_prob_ranks_zero                       PushPop                229698                 396845                7        32814.0        32736.0          32321          34016             557.4             21          3.0            5.0            0.0
 TensorRT-LLM:[Executor] _forward_step 78: 0 ctx reqs, 1 gen reqs   PushPop                228387                 794531                1       228387.0       228387.0         228387         228387               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 93: 0 ctx reqs, 1 gen reqs   PushPop                228291                 793521                1       228291.0       228291.0         228291         228291               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 82: 0 ctx reqs, 1 gen reqs   PushPop                227746                 798281                1       227746.0       227746.0         227746         227746               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 99: 0 ctx reqs, 1 gen reqs   PushPop                227074                 808262                1       227074.0       227074.0         227074         227074               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 86: 0 ctx reqs, 1 gen reqs   PushPop                223778                 795901                1       223778.0       223778.0         223778         223778               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 100: 0 ctx reqs, 1 gen reqs  PushPop                223490                 797101                1       223490.0       223490.0         223490         223490               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 81: 0 ctx reqs, 1 gen reqs   PushPop                222530                 787361                1       222530.0       222530.0         222530         222530               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 8: 0 ctx reqs, 1 gen reqs    PushPop                222019                 779862                1       222019.0       222019.0         222019         222019               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 80: 0 ctx reqs, 1 gen reqs   PushPop                217314                 793731                1       217314.0       217314.0         217314         217314               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 5: 0 ctx reqs, 1 gen reqs    PushPop                198818                 779971                1       198818.0       198818.0         198818         198818               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 88: 0 ctx reqs, 1 gen reqs   PushPop                195683                 785481                1       195683.0       195683.0         195683         195683               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 46: 0 ctx reqs, 1 gen reqs   PushPop                194114                 787562                1       194114.0       194114.0         194114         194114               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 12: 0 ctx reqs, 1 gen reqs   PushPop                182402                 778181                1       182402.0       182402.0         182402         182402               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 103: 0 ctx reqs, 1 gen reqs  PushPop                175106                 786411                1       175106.0       175106.0         175106         175106               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 13: 0 ctx reqs, 1 gen reqs   PushPop                160066                 779901                1       160066.0       160066.0         160066         160066               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 17: 0 ctx reqs, 1 gen reqs   PushPop                145538                 767832                1       145538.0       145538.0         145538         145538               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 14: 0 ctx reqs, 1 gen reqs   PushPop                144738                 773621                1       144738.0       144738.0         144738         144738               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 6: 0 ctx reqs, 1 gen reqs    PushPop                142401                 777651                1       142401.0       142401.0         142401         142401               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 4: 0 ctx reqs, 1 gen reqs    PushPop                141122                 790692                1       141122.0       141122.0         141122         141122               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 18: 0 ctx reqs, 1 gen reqs   PushPop                139298                 760002                1       139298.0       139298.0         139298         139298               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 7: 0 ctx reqs, 1 gen reqs    PushPop                122241                 771602                1       122241.0       122241.0         122241         122241               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 10: 0 ctx reqs, 1 gen reqs   PushPop                116737                 774031                1       116737.0       116737.0         116737         116737               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 15: 0 ctx reqs, 1 gen reqs   PushPop                108673                 772762                1       108673.0       108673.0         108673         108673               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 11: 0 ctx reqs, 1 gen reqs   PushPop                108609                 776902                1       108609.0       108609.0         108609         108609               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 16: 0 ctx reqs, 1 gen reqs   PushPop                106434                 772202                1       106434.0       106434.0         106434         106434               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 9: 0 ctx reqs, 1 gen reqs    PushPop                103713                 753731                1       103713.0       103713.0         103713         103713               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:setup.h2d                                             PushPop                  2752                 449515                7          393.1          384.0            384            416              15.6              7          1.0            3.0            0.0

