match_idx	conversation_id	conversation_idx	input_tokens	output_tokens	cached_tokens	ttft_client_ms	itl_client_ms	elapsed_client_ms	ttft_server_ms	srv_preproc_ms	queue_ms	prefill_ms	srv_postproc_ms	gpu_forward_ms	gpu_sample_ms	prefill_host_ms	decode_ms	end_to_end_ms	first_iter	last_iter	kv_blocks_total	kv_blocks_new	kv_blocks_reused	kv_blocks_missed	kv_block_reuse_ratio
12	aa-rwlt-coding-agent-056	12	55231	68	54965	172.158	1.606	215.831	82.996	27.694	14.420	38.470	2.412				127.117	207.701	1233.000	1262.000	18.000	18.000	3436.000	16.000	0.995
13	aa-rwlt-coding-agent-056	13	55433	58	55234	174.130	1.046	213.132	83.875	27.768	14.480	39.968	1.659				122.734	204.950	1264.000	1292.000	14.000	14.000	3454.000	12.000	0.997
14	aa-rwlt-coding-agent-056	14	55839	983	55437	180.341	1.497	1579.020	80.884	27.455	14.717	37.222	1.490				1482.060	1561.454	1294.000	1626.000	26.000	26.000	3466.000	24.000	0.993
15	aa-rwlt-coding-agent-056	15	56084	1010	55842	204.072	1.739	1857.919	79.905	28.047	14.629	35.512	1.717				1737.974	1816.162	1628.000	2016.000	16.000	16.000	3492.000	14.000	0.996
16	aa-rwlt-coding-agent-056	16	57110	52	56089	228.788	0.306	237.684	99.857	28.684	15.177	53.447	2.549				92.744	190.052	2018.000	2039.000	66.000	66.000	3506.000	64.000	0.982
17	aa-rwlt-coding-agent-056	17	57613	199	57113	170.068	2.120	477.756	79.605	29.567	14.893	33.375	1.770				390.729	468.564	2041.000	2130.000	34.000	34.000	3570.000	32.000	0.991
18	aa-rwlt-coding-agent-056	18	60098	56	57616	236.557	0.351	245.690	148.169	30.872	15.580	96.725	4.992				93.220	236.397	2132.000	2153.000	158.000	158.000	3602.000	156.000	0.958
19	aa-rwlt-coding-agent-056	19	60221	128	60104	177.671	2.412	368.509	86.168	31.325	15.821	37.230	1.792				274.659	359.035	2155.000	2217.000	8.000	8.000	3758.000	6.000	0.998
20	aa-rwlt-coding-agent-056	20	60389	238	60224	178.278	2.241	588.662	86.796	31.555	15.891	37.752	1.598				493.356	578.554	2219.000	2330.000	12.000	12.000	3764.000	12.000	0.997
21	aa-rwlt-coding-agent-056	21	60460	75	60392	174.381	1.835	227.913	81.634	31.146	15.719	33.151	1.618				137.911	217.927	2332.000	2363.000	6.000	6.000	3776.000	4.000	0.999
22	aa-rwlt-coding-agent-056	22	60549	50	60466	168.135	0.006	168.546	76.766	31.787	15.969	26.260	2.750				84.081	158.097	2365.000	2384.000	8.000	8.000	3780.000	6.000	0.998
23	aa-rwlt-coding-agent-056	23	61851	131	60552	212.672	2.145	367.432	120.288	32.988	16.206	69.495	1.599				237.906	356.595	2386.000	2440.000	82.000	82.000	3786.000	80.000	0.979
24	aa-rwlt-coding-agent-056	24	62073	152	61855	178.910	1.486	338.176	87.161	33.338	16.027	35.383	2.413				242.242	326.990	2442.000	2496.000	16.000	16.000	3866.000	14.000	0.996
25	aa-rwlt-coding-agent-056	25	62284	58	62076	182.389	0.729	208.946	89.860	34.295	16.787	36.841	1.937				109.695	197.618	2498.000	2523.000	16.000	16.000	3880.000	14.000	0.996
26	aa-rwlt-coding-agent-056	26	62585	215	62288	181.189	1.909	488.819	88.773	34.133	16.162	36.700	1.778				390.753	477.748	2525.000	2613.000	20.000	20.000	3894.000	18.000	0.995
27	aa-rwlt-coding-agent-056	27	63646	65	62588	214.693	0.862	245.194	121.096	34.749	16.323	68.412	1.612				114.263	233.747	2615.000	2641.000	68.000	68.000	3912.000	66.000	0.983
28	aa-rwlt-coding-agent-056	28	63975	100	63649	183.873	2.920	286.400	91.181	35.367	16.595	37.538	1.681				185.315	274.815	2643.000	2685.000	22.000	22.000	3980.000	20.000	0.995
29	aa-rwlt-coding-agent-056	29	64114	355	63981	184.426	1.826	732.379	91.137	35.785	16.601	37.154	1.597				631.038	720.578	2687.000	2829.000	10.000	10.000	4000.000	8.000	0.998
30	aa-rwlt-coding-agent-056	30	65595	3552	64117	230.248	1.483	5393.031	139.023	36.646	16.725	79.583	6.069				5246.766	5379.720	2831.000	3997.000	94.000	94.000	4008.000	92.000	0.978
31	aa-rwlt-coding-agent-056	31	66002	318	65598	296.087	1.754	738.336	90.502	36.972	18.881	32.446	2.203				527.708	616.007	3999.000	4117.000	28.000	28.000	4100.000	26.000	0.994
32	aa-rwlt-coding-agent-056	32	66227	67	66005	183.648	1.264	219.364	86.539	36.954	17.244	30.427	1.914				119.912	204.537	4119.000	4146.000	16.000	16.000	4126.000	14.000	0.997
33	aa-rwlt-coding-agent-056	33	66323	155	66232	184.025	0.868	302.408	88.695	37.353	17.087	32.359	1.896				200.044	286.843	4148.000	4193.000	8.000	8.000	4140.000	6.000	0.999
34	aa-rwlt-coding-agent-056	34	67147	2345	66333	214.014	1.480	3587.741	119.445	37.998	17.770	61.601	2.076				3456.942	3574.311	4195.000	4962.000	54.000	54.000	4146.000	52.000	0.988
35	aa-rwlt-coding-agent-056	35	68253	133	67150	287.282	2.365	443.714	124.035	38.552	18.460	64.819	2.204				239.532	361.363	4964.000	5018.000	70.000	70.000	4198.000	68.000	0.984
36	aa-rwlt-coding-agent-056	36	68643	528	68256	191.550	1.793	986.067	95.638	39.100	17.216	37.647	1.675				878.262	972.225	5020.000	5216.000	26.000	26.000	4266.000	26.000	0.994
37	aa-rwlt-coding-agent-056	37	69713	226	68646	230.514	2.086	570.802	123.627	39.803	17.694	64.420	1.710				424.771	546.688	5218.000	5313.000	68.000	68.000	4292.000	66.000	0.985
38	aa-rwlt-coding-agent-056	38	70416	295	69716	215.227	1.831	631.195	117.717	40.362	17.828	57.073	2.454				502.148	617.411	5315.000	5426.000	46.000	46.000	4358.000	44.000	0.990
39	aa-rwlt-coding-agent-056	39	72144	618	70422	245.412	1.891	1295.441	148.199	41.601	18.849	85.334	2.415				1133.808	1279.592	5428.000	5681.000	110.000	110.000	4402.000	108.000	0.976
40	aa-rwlt-coding-agent-056	40	74847	73	72147	291.014	1.430	327.068	177.578	42.346	19.455	113.683	2.094				121.068	296.552	5683.000	5710.000	170.000	170.000	4510.000	168.000	0.964
41	aa-rwlt-coding-agent-056	41	75142	1200	74850	205.709	3.055	2264.971	99.557	44.495	19.442	33.552	2.068				2152.444	2249.933	5712.000	6191.000	20.000	20.000	4680.000	18.000	0.996
42	aa-rwlt-coding-agent-056	42	75339	53	75146	236.144	0.777	258.972	96.797	43.467	19.054	32.240	2.036				108.282	203.043	6193.000	6217.000	14.000	14.000	4698.000	12.000	0.997
43	aa-rwlt-coding-agent-056	43	75963	60	75342	222.653	1.606	258.306	124.382	45.251	19.455	57.657	2.019				121.026	243.389	6219.000	6246.000	40.000	40.000	4710.000	38.000	0.992
44	aa-rwlt-coding-agent-056	44	76046	78	75966	200.868	2.346	269.210	102.790	44.725	22.863	32.928	2.274				152.841	253.357	6248.000	6282.000	8.000	8.000	4748.000	6.000	0.999
45	aa-rwlt-coding-agent-056	45	76134	118	76049	195.706	2.404	364.314	96.557	44.717	19.366	30.372	2.102				253.553	348.008	6284.000	6340.000	8.000	8.000	4754.000	6.000	0.999
46	aa-rwlt-coding-agent-056	46	76674	49	76139	225.500	0.338	234.249	127.302	45.226	19.576	60.518	1.982				93.564	218.884	6342.000	6363.000	36.000	36.000	4760.000	34.000	0.993
47	aa-rwlt-coding-agent-056	47	76786	52	76677	201.475	0.004	201.887	102.396	46.421	19.469	34.496	2.010				85.434	185.820	6365.000	6384.000	8.000	8.000	4794.000	6.000	0.999
48	aa-rwlt-coding-agent-056	48	77071	186	76789	208.920	2.183	493.015	107.243	46.234	19.846	39.116	2.047				370.256	475.452	6386.000	6468.000	20.000	20.000	4800.000	18.000	0.996
49	aa-rwlt-coding-agent-056	49	77192	65	77074	204.317	1.309	236.039	105.464	46.621	24.771	31.952	2.120				116.531	219.875	6470.000	6496.000	10.000	10.000	4818.000	8.000	0.998
50	aa-rwlt-coding-agent-056	50	77317	53	77195	202.250	0.767	220.208	103.357	46.555	19.633	35.222	1.947				102.630	204.040	6498.000	6521.000	10.000	10.000	4826.000	8.000	0.998
51	aa-rwlt-coding-agent-056	51	77747	89	77320	218.432	2.312	304.271	117.906	47.708	19.772	48.860	1.566				170.828	287.168	6523.000	6561.000	28.000	28.000	4834.000	26.000	0.995
52	aa-rwlt-coding-agent-056	52	77928	62	77750	204.554	1.029	231.627	106.104	47.784	20.010	34.882	3.428				112.043	214.719	6563.000	6588.000	14.000	14.000	4860.000	12.000	0.998
53	aa-rwlt-coding-agent-056	53	78222	103	77931	209.057	1.047	285.776	108.665	48.661	20.447	37.913	1.644				161.426	268.447	6590.000	6626.000	20.000	20.000	4872.000	18.000	0.996
54	aa-rwlt-coding-agent-056	54	78344	55	78225	203.962	0.004	204.361	103.296	48.602	20.273	32.004	2.417				85.590	186.469	6628.000	6647.000	10.000	10.000	4890.000	8.000	0.998
55	aa-rwlt-coding-agent-056	55	78503	54	78351	218.024	0.004	218.429	116.647	48.802	20.094	46.179	1.572				85.463	200.538	6649.000	6668.000	12.000	12.000	4898.000	10.000	0.998
56	aa-rwlt-coding-agent-056	56	78866	69	78506	221.861	1.270	271.708	120.170	49.055	20.100	48.574	2.441				135.788	253.517	6670.000	6700.000	24.000	24.000	4908.000	22.000	0.996
57	aa-rwlt-coding-agent-056	57	79842	152	78870	230.364	1.430	380.873	128.916	50.354	20.447	56.372	1.743				235.817	362.990	6702.000	6754.000	64.000	64.000	4930.000	62.000	0.988
58	aa-rwlt-coding-agent-056	58	80817	5726	79851	230.877	1.850	9854.059	130.229	50.833	20.429	56.524	2.443				9706.154	9833.940	6756.000	8892.000	62.000	62.000	4992.000	60.000	0.988
59	aa-rwlt-coding-agent-056	59	81600	73	80820	333.814	0.661	361.223	135.260	51.185	21.681	60.719	1.675				112.353	245.938	8894.000	8919.000	50.000	50.000	5052.000	48.000	0.991
60	aa-rwlt-coding-agent-056	60	81683	63	81605	212.684	0.222	221.684	111.228	51.733	21.013	35.860	2.622				94.767	203.373	8921.000	8942.000	6.000	6.000	5102.000	4.000	0.999
61	aa-rwlt-coding-agent-011	0	11330	63	2068	191.031	1.744	227.957	105.400	6.555	4.332	92.817	1.696				119.884	223.588	8944.000	8972.000	582.000	582.000	130.000	580.000	0.183
62	aa-rwlt-coding-agent-011	1	11832	39	11333	119.436	0.661	127.692	37.468	6.982	4.203	24.265	2.018				87.512	122.962	8974.000	8995.000	32.000	32.000	710.000	30.000	0.959
63	aa-rwlt-coding-agent-011	2	11974	50	11835	119.414	1.095	140.521	37.540	7.429	4.244	24.158	1.709				99.846	135.677	8997.000	9021.000	12.000	12.000	740.000	10.000	0.987
64	aa-rwlt-coding-agent-011	3	12045	45	11977	123.497	0.005	127.195	41.376	7.861	4.123	27.146	2.246				83.423	122.553	9023.000	9043.000	6.000	6.000	750.000	4.000	0.995
65	aa-rwlt-coding-agent-011	4	14404	66	12048	153.129	2.853	199.086	68.955	9.223	4.639	53.610	1.483				126.011	193.483	9045.000	9075.000	150.000	150.000	754.000	148.000	0.836
66	aa-rwlt-coding-agent-011	5	16329	54	14407	144.807	0.826	165.770	61.027	10.052	5.192	44.195	1.588				100.445	159.884	9077.000	9101.000	122.000	122.000	902.000	120.000	0.883
67	aa-rwlt-coding-agent-011	6	16845	59	16332	138.954	0.243	147.042	55.435	10.811	5.291	37.744	1.589				87.537	141.383	9103.000	9124.000	34.000	34.000	1022.000	32.000	0.970
68	aa-rwlt-coding-agent-011	7	17244	55	16851	118.083	0.003	118.474	42.970	11.150	5.351	24.251	2.218				71.127	111.879	9126.000	9143.000	26.000	26.000	1054.000	24.000	0.978
69	aa-rwlt-coding-agent-011	8	21037	559	17253	181.729	1.775	1083.714	95.504	13.225	6.297	74.452	1.530				982.919	1076.893	9145.000	9376.000	238.000	238.000	1080.000	236.000	0.821
70	aa-rwlt-coding-agent-011	9	21266	50	21040	152.069	0.004	152.466	49.728	13.738	6.258	28.104	1.628				80.138	128.238	9378.000	9397.000	16.000	16.000	1316.000	14.000	0.989
71	aa-rwlt-coding-agent-011	10	21572	36	21269	115.978	0.009	116.373	48.186	14.166	6.479	25.305	2.236				63.117	109.067	9399.000	9414.000	22.000	22.000	1330.000	20.000	0.985
72	aa-rwlt-coding-agent-011	11	21809	44	21575	133.090	0.286	137.527	47.357	14.479	6.712	24.481	1.685				84.712	130.384	9416.000	9436.000	16.000	16.000	1350.000	14.000	0.990
73	aa-rwlt-coding-agent-011	12	22017	51	21812	132.854	1.731	153.936	48.142	14.907	6.657	24.526	2.052				100.669	146.759	9438.000	9462.000	16.000	16.000	1364.000	14.000	0.990
74	aa-rwlt-coding-agent-011	13	22908	130	22020	149.579	1.872	280.904	63.695	16.233	6.598	39.289	1.575				211.161	273.281	9464.000	9514.000	56.000	56.000	1378.000	54.000	0.962
75	aa-rwlt-coding-agent-011	14	23491	1597	22911	140.698	1.746	2826.229	54.184	16.050	6.926	29.233	1.975				2765.670	2817.879	9516.000	10164.000	40.000	40.000	1432.000	38.000	0.974
76	aa-rwlt-coding-agent-011	15	27221	425	23494	258.951	1.919	943.999	106.140	17.763	7.944	78.857	1.576				765.836	870.400	10166.000	10346.000	234.000	234.000	1470.000	232.000	0.864
77	aa-rwlt-coding-agent-011	16	28017	735	27224	161.713	1.850	1412.646	60.532	18.388	8.103	31.702	2.339				1331.065	1389.258	10348.000	10659.000	52.000	52.000	1702.000	50.000	0.971
78	aa-rwlt-coding-agent-011	17	28537	1482	28020	172.032	1.780	2709.457	58.806	18.963	8.557	29.311	1.975				2617.749	2674.580	10661.000	11270.000	34.000	34.000	1752.000	32.000	0.982
79	aa-rwlt-coding-agent-011	18	29706	132	28540	226.086	2.252	388.526	75.746	19.574	8.626	45.473	2.073				242.631	316.304	11272.000	11329.000	76.000	76.000	1784.000	74.000	0.960
80	aa-rwlt-coding-agent-011	19	30236	50	29709	148.530	0.004	148.924	60.181	20.270	8.635	29.596	1.680				81.051	139.552	11331.000	11350.000	34.000	34.000	1858.000	32.000	0.983
81	aa-rwlt-coding-agent-011	20	30729	1354	30239	149.026	1.770	2440.122	60.476	20.953	8.572	29.049	1.902				2371.349	2429.923	11352.000	11906.000	34.000	34.000	1890.000	32.000	0.983
82	aa-rwlt-coding-agent-011	21	31652	1275	30734	217.246	1.798	2386.606	73.182	21.516	9.485	40.422	1.759				2249.016	2320.439	11908.000	12430.000	60.000	60.000	1922.000	58.000	0.971
83	aa-rwlt-coding-agent-011	22	32271	1135	31655	207.945	1.667	1978.364	65.608	22.093	9.131	32.307	2.077				1851.724	1915.255	12432.000	12862.000	40.000	40.000	1980.000	38.000	0.981
84	aa-rwlt-coding-agent-011	23	32626	62	32280	195.188	0.472	212.490	63.502	22.769	9.805	29.305	1.623				99.179	161.058	12864.000	12887.000	24.000	24.000	2018.000	22.000	0.989
85	aa-rwlt-coding-agent-011	24	33192	74	32629	160.579	1.134	190.379	70.958	22.997	9.265	36.487	2.209				111.506	180.255	12889.000	12915.000	38.000	38.000	2040.000	36.000	0.983
86	aa-rwlt-coding-agent-011	25	34095	553	33196	160.707	1.481	905.933	70.099	23.998	9.414	35.063	1.624				826.928	895.403	12917.000	13107.000	58.000	58.000	2076.000	56.000	0.974
87	aa-rwlt-coding-agent-011	26	36170	1461	34098	201.669	1.631	2488.168	100.096	25.067	10.039	63.496	1.494				2367.295	2465.897	13109.000	13658.000	132.000	132.000	2132.000	130.000	0.943
88	aa-rwlt-coding-agent-011	27	37095	135	36177	220.355	2.034	377.281	74.682	25.784	10.304	36.506	2.088				238.885	311.479	13660.000	13715.000	60.000	60.000	2262.000	58.000	0.975
89	aa-rwlt-coding-agent-011	28	37621	1000	37098	163.036	1.579	1650.436	71.628	26.150	10.178	33.314	1.986				1569.538	1639.180	13717.000	14079.000	34.000	34.000	2320.000	32.000	0.986
90	aa-rwlt-coding-agent-011	29	38517	93	37624	198.090	1.414	254.961	76.391	26.966	10.402	37.062	1.961				139.269	213.699	14081.000	14113.000	58.000	58.000	2352.000	56.000	0.977
91	aa-rwlt-coding-agent-011	30	38712	67	38520	160.217	0.539	182.096	68.655	27.284	10.476	28.896	1.999				103.912	170.568	14115.000	14139.000	14.000	14.000	2408.000	12.000	0.995
92	aa-rwlt-coding-agent-011	31	39069	133	38715	168.090	1.176	289.510	75.891	27.991	18.438	27.565	1.897				203.710	277.704	14141.000	14188.000	24.000	24.000	2420.000	22.000	0.991
93	aa-rwlt-coding-agent-011	32	40019	84	39072	172.258	3.597	258.880	79.764	28.515	11.023	38.041	2.185				168.263	245.842	14190.000	14229.000	60.000	60.000	2442.000	60.000	0.976
94	aa-rwlt-coding-agent-011	33	40687	534	40022	177.826	1.530	903.583	84.927	29.179	11.690	42.486	1.572				807.622	890.977	14231.000	14417.000	44.000	44.000	2502.000	42.000	0.983
95	aa-rwlt-coding-agent-011	34	41360	248	40690	181.603	1.577	468.976	79.378	29.626	11.080	36.394	2.278				369.395	446.495	14419.000	14504.000	44.000	44.000	2544.000	42.000	0.984
96	aa-rwlt-coding-agent-011	35	42434	75	41364	188.602	0.741	219.316	95.042	30.460	11.297	51.323	1.962				113.241	206.321	14506.000	14532.000	70.000	70.000	2586.000	68.000	0.974
97	aa-rwlt-coding-agent-011	36	42830	140	42437	165.155	1.821	314.752	71.619	31.020	11.484	27.020	2.095				232.066	301.590	14534.000	14587.000	26.000	26.000	2654.000	24.000	0.991
98	aa-rwlt-coding-agent-011	37	43070	161	42837	168.539	1.648	335.261	74.558	31.328	12.189	29.464	1.577				248.850	321.831	14589.000	14646.000	16.000	16.000	2678.000	14.000	0.995
99	aa-rwlt-coding-agent-011	38	43275	93	43074	166.534	1.171	214.890	71.903	31.529	11.605	26.491	2.278				131.265	200.890	14648.000	14678.000	14.000	14.000	2694.000	12.000	0.996
100	aa-rwlt-coding-agent-011	39	43739	491	43279	182.253	1.287	734.648	73.987	31.940	11.661	28.353	2.033				635.408	707.362	14680.000	14825.000	30.000	30.000	2706.000	28.000	0.990
101	aa-rwlt-coding-agent-011	40	44291	110	43742	182.129	2.163	281.911	81.884	32.243	11.685	36.408	1.548				182.660	262.996	14827.000	14869.000	38.000	38.000	2734.000	36.000	0.987
102	aa-rwlt-coding-agent-011	41	44622	388	44300	168.602	1.338	599.609	73.187	32.839	11.948	26.725	1.675				513.629	585.141	14871.000	14989.000	22.000	22.000	2770.000	20.000	0.993
103	aa-rwlt-coding-agent-011	42	45063	92	44625	182.453	2.613	261.150	88.218	33.890	12.001	39.738	2.589				160.749	246.378	14991.000	15028.000	30.000	30.000	2790.000	28.000	0.990
104	aa-rwlt-coding-agent-011	43	45729	70	45066	181.595	1.186	237.623	86.592	34.271	12.137	38.268	1.916				138.002	222.678	15030.000	15062.000	44.000	44.000	2818.000	42.000	0.985
105	aa-rwlt-coding-agent-011	44	45902	648	45733	170.385	2.030	1354.473	75.610	34.680	12.824	26.209	1.897				1264.607	1338.320	15064.000	15354.000	12.000	12.000	2860.000	10.000	0.997
106	aa-rwlt-coding-agent-011	45	46664	113	45905	203.619	2.403	316.881	89.137	35.121	12.476	39.490	2.050				195.375	282.462	15356.000	15401.000	50.000	50.000	2870.000	48.000	0.984
107	aa-rwlt-coding-agent-011	46	47357	89	46669	186.063	2.560	260.587	89.932	36.089	12.554	39.181	2.108				156.854	244.678	15403.000	15439.000	44.000	44.000	2918.000	42.000	0.986
108	aa-rwlt-coding-agent-011	47	47651	64	47360	174.210	0.003	174.615	77.153	36.343	12.598	26.331	1.881				83.452	158.724	15441.000	15460.000	20.000	20.000	2960.000	20.000	0.993
109	aa-rwlt-coding-agent-011	48	47894	252	47654	175.687	1.578	472.597	78.593	36.625	12.682	27.279	2.007				380.245	456.831	15462.000	15548.000	16.000	16.000	2980.000	14.000	0.995
110	aa-rwlt-coding-agent-011	49	48168	56	47901	176.988	0.221	185.260	80.042	37.078	12.965	26.985	3.014				92.096	169.124	15550.000	15571.000	20.000	20.000	2994.000	18.000	0.994
111	aa-rwlt-coding-agent-011	50	48557	317	48173	189.431	1.393	532.482	90.851	37.547	12.901	38.431	1.972				427.516	516.395	15573.000	15670.000	26.000	26.000	3012.000	24.000	0.992
112	aa-rwlt-coding-agent-011	51	48825	219	48562	183.301	1.308	364.134	85.971	37.710	12.953	33.398	1.910				263.855	347.916	15672.000	15732.000	18.000	18.000	3036.000	16.000	0.995
113	aa-rwlt-coding-agent-011	52	49050	68	48835	176.480	1.956	219.825	79.028	37.918	12.834	26.527	1.749				125.692	202.971	15734.000	15763.000	14.000	14.000	3054.000	12.000	0.996
114	aa-rwlt-coding-agent-011	53	49178	60	49055	183.749	0.233	192.479	85.825	38.674	18.466	26.551	2.134				91.972	175.663	15765.000	15786.000	10.000	10.000	3066.000	8.000	0.997
115	aa-rwlt-coding-agent-011	54	49425	193	49182	178.657	1.382	346.175	80.699	39.058	13.250	26.512	1.879				250.013	328.833	15788.000	15845.000	18.000	18.000	3074.000	16.000	0.995
116	aa-rwlt-coding-agent-011	55	49584	1027	49428	183.744	1.547	1685.971	86.236	39.170	17.577	27.315	2.174				1584.056	1668.118	15847.000	16209.000	12.000	12.000	3090.000	10.000	0.997
117	aa-rwlt-coding-agent-011	56	49584	1027	49583	203.648	1.537	1696.538	79.788	39.444	13.170	24.947	2.227				1574.484	1652.045	16211.000	16572.000	2.000	2.000	3100.000	0.000	1.000
118	aa-rwlt-coding-agent-011	57	50756	343	49591	233.696	1.870	755.830	109.424	39.852	13.645	53.824	2.103				604.947	712.268	16574.000	16712.000	76.000	76.000	3100.000	74.000	0.977
119	aa-rwlt-coding-agent-011	58	51837	514	50759	211.238	1.295	795.424	111.065	41.430	13.918	53.537	2.180				668.025	776.910	16714.000	16865.000	68.000	68.000	3174.000	66.000	0.980
120	aa-rwlt-coding-agent-011	59	52166	102	51842	187.908	2.222	277.085	87.031	41.718	14.246	28.913	2.154				171.742	256.619	16867.000	16906.000	22.000	22.000	3242.000	20.000	0.994
121	aa-rwlt-coding-agent-011	60	53113	349	52174	201.446	1.528	698.277	102.311	42.593	13.886	43.743	2.089				579.773	679.995	16908.000	17039.000	60.000	60.000	3262.000	58.000	0.983
122	aa-rwlt-coding-agent-011	61	53463	65	53120	193.906	1.896	241.644	94.056	42.915	15.511	33.898	1.732				130.961	223.285	17041.000	17071.000	22.000	22.000	3320.000	22.000	0.993
123	aa-rwlt-coding-agent-011	62	54230	178	53466	202.116	1.433	425.936	102.968	43.223	14.281	42.981	2.483				306.990	407.475	17073.000	17142.000	50.000	50.000	3342.000	48.000	0.986
124	aa-rwlt-coding-agent-051	0	9561	139	2109	173.138	2.508	404.174	86.439	5.471	3.795	75.435	1.738				314.274	398.975	17144.000	17218.000	468.000	468.000	132.000	466.000	0.221
125	aa-rwlt-coding-agent-051	1	17872	229	9564	215.201	2.046	571.434	129.077	9.574	5.459	112.420	1.624				438.989	566.442	17220.000	17322.000	522.000	522.000	598.000	520.000	0.535
126	aa-rwlt-coding-agent-051	2	18248	207	17875	134.674	2.039	440.811	41.843	9.813	5.772	24.441	1.817				385.943	425.969	17324.000	17415.000	26.000	26.000	1118.000	24.000	0.979
127	aa-rwlt-coding-agent-051	3	19058	63	18253	132.048	1.649	170.294	45.872	10.433	5.907	27.878	1.654				120.647	164.865	17417.000	17445.000	52.000	52.000	1142.000	50.000	0.958
128	aa-rwlt-coding-agent-051	4	20372	53	19061	138.512	0.837	159.754	54.803	11.318	6.096	35.235	2.154				101.635	154.284	17447.000	17471.000	84.000	84.000	1192.000	82.000	0.936
129	aa-rwlt-coding-agent-051	5	20921	57	20375	130.698	1.446	159.924	45.759	12.191	6.225	25.613	1.730				110.160	154.189	17473.000	17499.000	36.000	36.000	1274.000	34.000	0.974
130	aa-rwlt-coding-agent-051	6	21454	45	20926	134.234	0.381	142.605	49.522	12.523	6.329	28.578	2.092				89.174	136.604	17501.000	17522.000	36.000	36.000	1308.000	34.000	0.975
131	aa-rwlt-coding-agent-051	7	28412	323	21457	233.122	1.620	635.100	146.558	15.811	7.969	121.076	1.702				483.606	628.462	17524.000	17636.000	436.000	436.000	1342.000	434.000	0.756
132	aa-rwlt-coding-agent-051	8	29702	430	28415	155.360	1.666	773.742	68.423	16.767	8.428	41.444	1.784				700.328	766.967	17638.000	17800.000	84.000	84.000	1776.000	82.000	0.956
133	aa-rwlt-coding-agent-051	9	30235	335	29705	147.210	1.662	602.936	57.148	17.074	8.505	29.921	1.648				540.688	596.188	17802.000	17927.000	34.000	34.000	1858.000	32.000	0.983
134	aa-rwlt-coding-agent-051	10	30442	44	30238	148.951	0.005	149.348	52.991	17.484	8.896	25.131	1.480				81.254	132.765	17929.000	17948.000	16.000	16.000	1890.000	14.000	0.993
135	aa-rwlt-coding-agent-051	11	30823	38	30447	118.794	0.005	119.194	54.358	18.062	8.671	25.377	2.248				59.447	111.557	17950.000	17964.000	26.000	26.000	1904.000	24.000	0.988
