
NOTICE: Existing SQLite export found: /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_off.sqlite
        It is assumed file was previously exported from: /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_off.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_off.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/cuda_kern_exec_sum.py]... 

 ** CUDA Kernel Launch & Exec Time Summary (cuda_kern_exec_sum):

 PID   TID   DevId  Count  QCount  TAvg (ns)  TMed (ns)  TMin (ns)  TMax (ns)  TStdDev (ns)  AAvg (ns)  AMed (ns)  AMin (ns)  AMax (ns)  AStdDev (ns)  QAvg (ns)  QMed (ns)  QMin (ns)  QMax (ns)  QStdDev (ns)  KAvg (ns)  KMed (ns)  KMin (ns)  KMax (ns)  KStdDev (ns)       API Name                                                    Kernel Name                                             
 3415  3557      0    100      99  1759247.3  1866056.5      12808    1926266      412582.5    11186.6    10900.0      10369      19840        1388.5  1763910.9  1853413.0        116    1913784      374865.8     1796.2     1792.0       1728       1921          32.7  cudaLaunchKernel     void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
 3415  3557      0    845     845  1749174.6  2064559.0       6587    2489760      688793.3     5254.6     5010.0       3810      15490        1383.8  1741927.3  2057758.0        454    2482372      688517.7     1992.7     1824.0       1600       3104         429.3  cudaLaunchKernel     void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 3415  3557      0    120     120  1712208.8  2169261.5       6318    2235353      880725.0     5082.7     4540.0       4140      18940        1881.8  1706218.6  2163635.5        214    2230075      881286.9      907.5      896.0        864        929          17.5  cudaLaunchKernel     void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<cha…
 3415  3557      0    100     100  1614034.9  1717227.0       7613    1779660      382609.2     5436.3     5350.0       4960      10680         584.6  1607292.0  1710347.5        586    1773358      382767.2     1306.6     1312.0       1248       1345          19.9  cudaLaunchKernel     void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::index_fill_kernel_impl…
 3415  3557      0    450     447  1599879.9  1437221.0       6827    3063372      927108.1     7761.5     6865.0       4670      20960        2581.4  1601473.4  1430862.0         50    3050642      919245.1     1323.3     1216.0       1184       1856         182.9  cudaLaunchKernel     void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 3415  3557      0    100     100  1569394.6  1671599.0       6828    1734948      373831.4     4845.1     4585.0       4160      13669        1271.4  1563382.2  1665862.0        824    1729256      373927.1     1167.4     1152.0       1152       1312          27.1  cudaLaunchKernel     void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array…
 3415  3557      0    100     100  1553488.4  1655564.0       7659    1718934      370380.8     5251.9     5174.5       4820      10639         604.2  1546946.8  1649070.0        816    1712574      370592.3     1289.6     1280.0       1248       1345          30.7  cudaLaunchKernel     void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
 3415  3557      0    200     200  1519505.4  1616102.5       6536    1706108      363536.7     4718.5     4550.0       4030      14269        1049.2  1513595.4  1610558.0        632    1700340      363681.7     1191.5     1184.5       1088       1408          81.9  cudaLaunchKernel     void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::masked_fill_kernel(at…
 3415  3557      0    100     100  1508787.8  1608014.5       7356    1674587      361541.8     5229.1     5040.0       4720      13390        1041.3  1502246.3  1601668.5        428    1668393      361704.3     1312.3     1312.0       1280       1376          29.3  cudaLaunchKernel     void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
 3415  3557      0    100     100  1436315.8  1533366.5       7274    1601919      347395.6     5033.9     4830.0       4470      13170        1122.0  1430085.7  1527206.5        425    1596216      347540.4     1196.2     1184.0       1184       1216          15.6  cudaLaunchKernel     void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::where_kernel_impl(at:…
 3415  3557      0    100      99  1290794.2  1381423.5       8839    1451000      319914.9     7437.3     7210.0       6690      12610         968.4  1294953.0  1373091.0        796    1442456      294291.6     1353.6     1344.0       1344       1504          26.3  cudaLaunchKernel     void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<int>(…
 3415  3557      0    100     100  1263632.8  1353372.0       7617    1423482      315041.3     4365.1     4250.0       3890       8010         550.1  1256987.7  1346784.0        752    1417290      315307.1     2280.0     2272.0       2240       2400          29.6  cudaLaunchKernel     void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrappe…
 3415  3557      0    100     100  1248292.0  1337374.5       7061    1408463      312462.8     5039.6     4920.0       4600      10440         612.8  1242132.8  1331181.0        904    1402543      312714.0     1119.7     1120.0       1088       1152           7.2  cudaLaunchKernel     void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<long, long, bool, …
 3415  3557      0    200     200  1178535.6  1266293.5       8937    1355645      298782.5     8213.6     8570.0       6740      13909        1201.6  1168891.7  1256397.0        455    1345351      298890.8     1430.2     1408.0       1184       1824         139.1  cudaLaunchKernel     void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 3415  3557      0      5       5   229006.2   215470.0     195078     291505       37286.0     8522.0     8310.0       7830       9670         698.5    35823.0    22532.0        862      99033       37769.4   184661.2   184642.0     184354     185026         248.5  cudaLaunchKernel     std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n…
 3415  3557      0      5       5   190489.2   179290.0     150381     255696       39738.1     7326.0     6950.0       6910       8760         805.4   180737.6   169980.0     139157     246164       40140.3     2425.6     2432.0       2400       2464          26.8  cudaLaunchKernel     void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 3415  3557      0      5       5   136692.8   137136.0      50083     214154       58483.0     6087.8     6030.0       5670       6809         446.3   129715.4   130492.0      42378     207588       58885.0      889.6      896.0        864        896          14.3  cudaLaunchKernel     void at_cuda_detail::cub::detail::scan::DeviceScanInitKernel<at_cuda_detail::cub::ScanTileState<lon…
 3415  3557      0      5       5   127162.2   127924.0      37914     205642       59809.9     4184.0     4200.0       4070       4320         108.3   121403.8   122286.0      31994     199792       59846.4     1574.4     1568.0       1536       1600          26.8  cudaLaunchKernel     void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail::scan::policy_…
 3415  3557      0      5       5   105144.8   107059.0      10024     185552       62732.2     6172.0     5780.0       5500       7940        1004.6    97692.8    99821.0        836     178526       63564.7     1280.0     1248.0       1216       1376          64.0  cudaLaunchKernel     void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctorOnSelf_add<long>, std…
 3415  3557      0      5       5    88272.2    87611.0      12146     156469       51550.2     7063.8     6879.0       6500       8000         568.1    77739.6    77239.0        658     145957       51914.1     3468.8     3488.0       3392       3552          62.4  cudaLaunchKernel     void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 3415  3557      0    110     109    80259.9    69989.5      15168     191079       34747.3    10780.5    10560.0      10060      16840         941.9    67651.4    57246.0        402     178313       34698.4     2445.1     2400.0       2336       2720          91.9  cudaLaunchKernel     void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm:…
 3415  3557      0    110     110    71360.1    60940.5       9189     182577       34666.2     4529.6     4340.0       4050      12669         957.6    64105.0    53801.0        991     175553       34891.9     2725.6     2720.0       2624       2880          42.0  cudaLaunchKernelExC  void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)25…
 3415  3557      0    110     110    68108.9    57569.5       9663     180153       34604.5     4118.4     3925.0       3600      13420        1090.9    60421.9    50150.5        453     172573       34548.9     3568.6     3552.0       3488       3904          69.8  cudaLaunchKernel     fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl                            
 3415  3557      0     10       8    12476.7    10989.0       8377      28359        6035.8    10906.8     9180.0       6320      28359        6679.0      635.0      770.5        180       1075         348.9     1200.0     1216.0       1152       1280          40.6  cudaLaunchKernel     void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<int>, std::array<cha…
 3415  3557      0      5       5     7422.4     7391.0       7381       7498          52.1     5045.8     5030.0       4800       5279         173.5     1199.0     1167.0        993       1407         160.8     1177.6     1184.0       1152       1184          14.3  cudaLaunchKernel     void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::where_kernel_impl(at:…

