match_idx	conversation_id	conversation_idx	input_tokens	output_tokens	cached_tokens	ttft_client_ms	itl_client_ms	elapsed_client_ms	ttft_server_ms	proxy_to_ctx_ms	ctx_preproc_ms	ctx_queue_ms	ctx_prefill_ms	ctx_postproc_ms	relay_hop_ms	gen_preproc_ms	gen_queue_ms	gen_first_decode_ms	gen_postproc_ms	proxy_to_client_ms	kv_transfer_ctx_ms	kv_transfer_gen_ms	ctx_gpu_forward_ms	ctx_gpu_sample_ms	ctx_prefill_host_ms	ctx_decode_ms	gen_decode_ms	end_to_end_ms	kv_cache_mb	kv_transfer_gen_GBps	ctx_first_iter	ctx_last_iter	gen_first_iter	gen_last_iter	ctx_kv_blocks_total	ctx_kv_blocks_new	ctx_kv_blocks_reused	ctx_kv_blocks_missed	ctx_kv_block_reuse_ratio	gen_kv_blocks_total	gen_kv_blocks_new	gen_kv_blocks_reused	gen_kv_blocks_missed	gen_kv_block_reuse_ratio
10	aa-rwlt-coding-agent-056	10	54874	60	54807	557.910	0.350	571.128	470.082	1.419	26.588	14.540	32.627	2.856	11.362	3.802	373.731	6.225	-3.613	0.545		357.968				0.000	91.919	470.082	4.875	0.014	23.000	23.000	1546.000	1567.000	4.000	4.000	1715.000	3.000	0.998	4.000	4.000	1715.000	3.000	0.998
11	aa-rwlt-coding-agent-056	11	54966	47	54874	560.507	0.497	573.698	445.169	1.493	26.728	15.217	37.701	2.094	11.957	4.110	341.425	5.882	-1.959	0.521		325.577				0.000	110.260	445.169	12.188	0.037	25.000	25.000	1570.000	1595.000	10.000	10.000	1718.000	9.000	0.995	10.000	10.000	1718.000	9.000	0.995
12	aa-rwlt-coding-agent-056	12	55235	63	54966	534.701	1.139	565.724	448.078	1.479	27.288	15.081	40.971	2.971	11.564	3.850	341.523	6.073	-3.257	0.535		325.617				0.000	119.668	448.078	8.531	0.026	27.000	27.000	1598.000	1625.000	7.000	7.000	1727.000	6.000	0.997	7.000	7.000	1727.000	6.000	0.997
13	aa-rwlt-coding-agent-056	13	55437	69	55235	539.839	0.872	579.339	411.248	1.453	27.503	15.005	35.693	2.149	11.829	3.854	310.807	5.820	-3.333	0.468		294.820				0.000	1400.691	411.248	17.062	0.058	29.000	29.000	1628.000	1943.000	14.000	14.000	1733.000	13.000	0.993	14.000	14.000	1733.000	13.000	0.993
14	aa-rwlt-coding-agent-056	14	55843	991	55437	502.507	1.409	1824.471	381.267	1.861	27.872	15.192	37.886	2.125	11.718	3.948	277.360	6.119	-3.285	0.471		261.231				0.000	2947.281	381.267	9.750	0.037	31.000	31.000	1946.000	2605.000	8.000	8.000	1746.000	7.000	0.996	8.000	8.000	1746.000	7.000	0.996
15	aa-rwlt-coding-agent-056	15	56088	1886	55843	473.735	1.576	3341.000	408.188	1.726	28.968	15.337	67.409	5.460	12.022	4.244	265.822	6.183	0.653	0.364		248.832				0.000	88.563	408.188	40.219	0.162	33.000	33.000	2608.000	2628.000	33.000	33.000	1753.000	32.000	0.982	33.000	33.000	1753.000	32.000	0.982
16	aa-rwlt-coding-agent-056	16	57114	52	56088	496.503	0.302	505.260	337.949	1.524	29.229	15.524	33.136	2.588	11.985	4.493	236.424	6.254	-3.571	0.363		219.648				0.000	348.326	337.949	20.719	0.094	35.000	35.000	2631.000	2710.000	17.000	17.000	1785.000	16.000	0.991	17.000	17.000	1785.000	16.000	0.991
17	aa-rwlt-coding-agent-056	17	57617	189	57114	430.193	1.946	699.168	425.782	1.591	30.784	16.103	96.242	2.471	12.635	4.290	258.496	6.010	-3.316	0.476		241.178				0.000	75.598	425.782	96.281	0.399	37.000	37.000	2713.000	2730.000	79.000	79.000	1801.000	78.000	0.958	79.000	79.000	1801.000	78.000	0.958
18	aa-rwlt-coding-agent-056	18	60102	49	57617	514.353	0.005	514.704	329.170	1.650	30.836	16.158	35.776	2.545	12.510	4.261	221.043	5.934	-1.920	0.377		203.922				0.000	261.849	329.170	6.094	0.030	39.000	39.000	2733.000	2792.000	5.000	5.000	1879.000	4.000	0.998	5.000	5.000	1879.000	4.000	0.998
19	aa-rwlt-coding-agent-056	19	60225	135	60102	420.158	2.308	602.766	298.592	1.648	31.242	16.383	39.051	2.570	12.489	4.188	187.160	6.971	-3.476	0.366		170.126				0.000	119.839	298.592	7.312	0.043	41.000	41.000	2795.000	2822.000	6.000	6.000	1883.000	5.000	0.997	6.000	6.000	1883.000	5.000	0.997
20	aa-rwlt-coding-agent-056	20	60393	63	60225	391.963	2.088	431.908	288.139	1.631	31.608	16.198	25.501	2.734	12.565	4.156	189.686	5.823	-2.145	0.382		172.457				0.000	475.089	288.139	3.656	0.021	43.000	43.000	2825.000	2932.000	3.000	3.000	1888.000	2.000	0.999	3.000	3.000	1888.000	2.000	0.999
21	aa-rwlt-coding-agent-056	21	60464	247	60393	379.950	2.017	775.626	288.916	1.674	32.084	16.103	25.841	2.694	12.488	4.280	191.026	5.912	-3.565	0.379		173.992				0.000	571.925	288.916	4.875	0.028	45.000	45.000	2935.000	3062.000	4.000	4.000	1890.000	3.000	0.998	4.000	4.000	1890.000	3.000	0.998
22	aa-rwlt-coding-agent-056	22	60553	455	60464	383.208	1.201	874.866	345.225	1.813	33.338	16.251	71.040	2.658	12.744	4.337	200.139	6.196	-3.677	0.386		182.382				0.000	180.979	345.225	49.969	0.274	47.000	47.000	3065.000	3106.000	41.000	41.000	1893.000	40.000	0.979	41.000	41.000	1893.000	40.000	0.979
23	aa-rwlt-coding-agent-056	23	61855	97	60553	439.746	2.396	540.683	307.101	1.873	34.332	16.886	37.578	2.640	13.035	4.546	191.658	5.898	-1.747	0.402		173.648				0.000	336.940	307.101	8.531	0.049	49.000	49.000	3109.000	3185.000	8.000	8.000	1933.000	7.000	0.996	7.000	7.000	1934.000	6.000	0.997
24	aa-rwlt-coding-agent-056	24	62077	214	61855	399.667	1.521	657.023	301.891	1.956	33.555	16.858	30.977	2.664	13.096	4.456	194.996	6.115	-3.269	0.487		176.980				0.000	100.974	301.891	8.531	0.048	51.000	51.000	3188.000	3211.000	8.000	8.000	1940.000	7.000	0.996	7.000	7.000	1940.000	7.000	0.996
25	aa-rwlt-coding-agent-056	25	62288	54	62077	396.449	0.620	417.830	312.443	1.917	33.724	16.556	39.986	2.565	13.262	4.435	195.813	5.848	-2.060	0.397		178.041				0.000	331.715	312.443	12.188	0.068	53.000	53.000	3214.000	3289.000	10.000	10.000	1947.000	9.000	0.995	10.000	10.000	1947.000	9.000	0.995
26	aa-rwlt-coding-agent-056	26	62589	181	62288	405.520	1.970	658.027	361.396	1.904	34.446	16.463	62.800	2.649	13.201	4.710	222.205	5.862	-3.306	0.462		203.822				0.000	208.184	361.396	41.438	0.203	55.000	55.000	3292.000	3339.000	35.000	35.000	1956.000	34.000	0.983	34.000	34.000	1956.000	34.000	0.983
27	aa-rwlt-coding-agent-056	27	63650	109	62589	455.537	2.571	584.363	342.569	1.929	34.740	16.884	36.900	3.072	13.253	4.571	226.957	5.986	-2.091	0.368		208.845				0.000	185.560	342.569	13.406	0.064	57.000	57.000	3342.000	3384.000	11.000	11.000	1990.000	10.000	0.995	11.000	11.000	1990.000	10.000	0.995
28	aa-rwlt-coding-agent-056	28	63979	102	63650	435.673	2.531	542.273	306.675	1.952	35.184	17.144	36.782	2.583	13.214	4.518	192.322	5.830	-3.242	0.388		174.461				0.000	372.429	306.675	6.094	0.035	59.000	59.000	3387.000	3471.000	5.000	5.000	2000.000	4.000	0.998	5.000	5.000	2000.000	4.000	0.998
29	aa-rwlt-coding-agent-056	29	64118	199	63979	401.814	2.048	694.936	386.322	1.993	36.177	17.345	75.680	2.666	13.423	4.642	230.078	5.996	-2.144	0.466		211.471				0.000	5176.848	386.322	57.281	0.271	61.000	61.000	3474.000	4623.000	47.000	47.000	2004.000	46.000	0.978	47.000	47.000	2004.000	46.000	0.978
30	aa-rwlt-coding-agent-056	30	65599	3457	64118	482.109	1.502	5578.729	341.999	2.535	37.772	19.048	33.102	2.959	13.751	4.981	224.531	6.027	-3.214	0.507		205.283				0.000	743.541	341.999	15.844	0.077	63.000	63.000	4626.000	4792.000	14.000	14.000	2050.000	13.000	0.994	13.000	13.000	2051.000	12.000	0.994
31	aa-rwlt-coding-agent-056	31	66006	494	65599	439.022	1.543	1101.417	327.061	2.175	37.560	17.678	35.054	2.697	13.646	4.677	210.667	5.852	-3.306	0.361		191.767				0.000	102.433	327.061	9.750	0.051	65.000	65.000	4795.000	4818.000	8.000	8.000	2063.000	7.000	0.997	8.000	8.000	2063.000	7.000	0.997
32	aa-rwlt-coding-agent-056	32	66231	67	66006	423.933	0.762	445.557	328.480	2.027	37.678	17.934	29.521	2.636	13.697	4.778	215.543	6.032	-1.858	0.492		196.882				0.000	191.085	328.480	4.875	0.025	67.000	67.000	4821.000	4864.000	4.000	4.000	2070.000	3.000	0.999	4.000	4.000	2070.000	3.000	0.999
33	aa-rwlt-coding-agent-056	33	66327	156	66231	423.561	0.811	534.082	375.262	2.104	38.486	17.776	56.340	2.221	13.796	4.852	234.473	7.085	-2.480	0.609		215.428				0.000	1687.905	375.262	31.688	0.147	69.000	69.000	4867.000	5243.000	27.000	27.000	2073.000	26.000	0.988	26.000	26.000	2074.000	25.000	0.988
34	aa-rwlt-coding-agent-056	34	67151	994	66327	471.703	1.734	2079.470	395.983	2.247	40.618	18.559	64.238	2.769	13.983	4.800	244.907	6.098	-2.604	0.368		225.635				0.000	382.300	395.983	43.875	0.194	71.000	71.000	5246.000	5332.000	36.000	36.000	2099.000	35.000	0.984	36.000	36.000	2099.000	35.000	0.984
35	aa-rwlt-coding-agent-056	35	68257	192	67151	491.268	2.261	794.551	355.831	2.086	39.251	17.870	36.176	2.658	13.986	4.992	235.280	6.412	-3.242	0.362		216.314				0.000	453.784	355.831	15.844	0.073	73.000	73.000	5335.000	5436.000	13.000	13.000	2134.000	12.000	0.994	13.000	13.000	2134.000	12.000	0.994
36	aa-rwlt-coding-agent-056	36	68647	321	68257	453.494	1.503	826.491	403.785	2.152	39.587	18.159	64.576	2.732	14.055	5.126	253.625	5.965	-2.654	0.462		225.683				0.000	188.556	403.785	41.438	0.184	75.000	75.000	5439.000	5481.000	34.000	34.000	2146.000	33.000	0.985	34.000	34.000	2146.000	33.000	0.985
37	aa-rwlt-coding-agent-056	37	69717	118	68647	500.821	2.078	609.165	382.256	2.163	40.345	18.227	52.116	2.571	14.185	5.016	241.771	6.944	-1.714	0.632		222.065				0.000	372.042	382.256	28.031	0.126	77.000	77.000	5484.000	5566.000	23.000	23.000	2179.000	22.000	0.990	23.000	23.000	2179.000	22.000	0.990
38	aa-rwlt-coding-agent-056	38	70420	205	69717	479.163	2.003	769.863	474.639	2.236	41.484	18.720	88.115	2.790	14.776	5.120	296.985	7.247	-3.372	0.538		276.731				0.000	374.956	474.639	67.031	0.242	79.000	79.000	5569.000	5653.000	55.000	55.000	2201.000	54.000	0.976	55.000	55.000	2201.000	54.000	0.976
39	aa-rwlt-coding-agent-056	39	72148	219	70420	571.832	1.954	867.259	576.813	2.392	43.086	19.699	111.286	2.348	15.156	5.300	373.662	6.045	-2.628	0.467		352.663				0.000	116.909	576.813	104.812	0.297	81.000	81.000	5656.000	5682.000	86.000	86.000	2255.000	85.000	0.964	86.000	86.000	2255.000	85.000	0.964
40	aa-rwlt-coding-agent-056	40	74851	59	72148	674.366	1.447	710.827	424.695	2.345	43.342	19.452	32.844	3.184	15.149	5.313	299.175	6.223	-2.689	0.357		278.522				0.000	586.133	424.695	12.188	0.044	83.000	83.000	5685.000	5815.000	10.000	10.000	2340.000	9.000	0.996	10.000	10.000	2340.000	9.000	0.996
41	aa-rwlt-coding-agent-056	41	75146	309	74851	523.218	2.046	1028.899	399.393	2.376	43.790	19.347	35.882	2.363	15.237	5.242	270.082	6.912	-2.375	0.537		248.562				0.000	95.103	399.393	8.531	0.034	85.000	85.000	5818.000	5839.000	7.000	7.000	2349.000	6.000	0.997	7.000	7.000	2349.000	6.000	0.997
42	aa-rwlt-coding-agent-056	42	75343	53	75146	498.584	0.457	512.124	441.185	2.461	44.278	20.340	56.157	3.382	15.821	5.581	288.639	6.610	-2.561	0.477		267.518				0.000	99.147	441.185	24.375	0.091	87.000	87.000	5842.000	5864.000	20.000	20.000	2355.000	19.000	0.992	20.000	20.000	2355.000	19.000	0.992
43	aa-rwlt-coding-agent-056	43	75967	54	75343	540.475	0.803	558.397	400.787	2.403	44.682	19.627	32.645	2.540	15.463	5.459	273.504	6.487	-2.549	0.526		252.226				0.000	194.167	400.787	3.656	0.014	89.000	89.000	5867.000	5910.000	4.000	4.000	2374.000	3.000	0.999	3.000	3.000	2375.000	2.000	0.999
44	aa-rwlt-coding-agent-056	44	76050	98	75967	499.825	2.507	612.920	400.609	2.459	44.740	19.725	29.376	2.743	15.606	5.287	275.580	7.271	-2.708	0.530		253.445				0.000	243.512	400.609	4.875	0.019	91.000	91.000	5913.000	5967.000	4.000	4.000	2377.000	3.000	0.999	4.000	4.000	2377.000	3.000	0.999
45	aa-rwlt-coding-agent-056	45	76138	129	76050	500.292	2.466	663.294	444.265	2.436	45.165	19.947	58.425	2.678	15.432	5.522	290.339	6.433	-2.582	0.470		268.216				0.000	80.666	444.265	21.938	0.082	93.000	93.000	5970.000	5988.000	18.000	18.000	2380.000	17.000	0.993	18.000	18.000	2380.000	17.000	0.993
46	aa-rwlt-coding-agent-056	46	76678	48	76138	543.553	0.004	543.898	417.098	2.467	45.890	19.749	30.498	2.642	15.408	5.717	290.833	6.022	-2.600	0.472		269.721				0.000	81.347	417.098	4.875	0.018	95.000	95.000	5991.000	6009.000	4.000	4.000	2397.000	3.000	0.999	4.000	4.000	2397.000	3.000	0.999
47	aa-rwlt-coding-agent-056	47	76790	52	76678	517.753	0.003	518.103	436.792	2.476	45.848	19.910	38.043	2.854	15.703	5.592	302.272	6.072	-2.503	0.525		280.437				0.000	539.805	436.792	12.188	0.043	97.000	97.000	6012.000	6132.000	10.000	10.000	2400.000	9.000	0.996	10.000	10.000	2400.000	9.000	0.996
48	aa-rwlt-coding-agent-056	48	77075	266	76790	537.506	2.267	995.803	415.574	2.514	46.261	20.139	31.248	2.340	15.629	5.723	287.476	6.732	-2.965	0.477		265.917				0.000	125.809	415.574	4.875	0.018	99.000	99.000	6135.000	6163.000	5.000	5.000	2409.000	4.000	0.998	4.000	4.000	2410.000	3.000	0.999
49	aa-rwlt-coding-agent-056	49	77196	76	77075	516.426	1.279	561.450	423.384	2.497	46.830	20.029	31.146	3.276	15.587	5.568	294.157	6.206	-2.262	0.350		272.542				0.000	80.662	423.384	6.094	0.022	101.000	101.000	6166.000	6184.000	5.000	5.000	2413.000	4.000	0.998	5.000	5.000	2413.000	4.000	0.998
50	aa-rwlt-coding-agent-056	50	77321	47	77196	523.395	0.005	523.720	447.943	2.458	47.531	19.926	44.146	2.756	15.650	5.536	305.697	6.636	-2.863	0.470		284.185				0.000	161.617	447.943	17.062	0.060	103.000	103.000	6187.000	6223.000	14.000	14.000	2417.000	13.000	0.995	14.000	14.000	2417.000	13.000	0.995
51	aa-rwlt-coding-agent-056	51	77751	82	77321	549.688	2.677	630.242	442.520	2.528	47.822	20.034	35.555	2.796	15.671	5.438	307.513	6.294	-1.639	0.508		285.683				0.000	116.793	442.520	8.531	0.030	105.000	105.000	6226.000	6252.000	7.000	7.000	2430.000	6.000	0.998	7.000	7.000	2430.000	6.000	0.998
52	aa-rwlt-coding-agent-056	52	77932	71	77751	541.841	1.387	578.186	430.319	2.543	48.100	20.244	33.631	2.808	15.713	5.959	297.136	6.069	-2.364	0.480		275.331				0.000	339.157	430.319	12.188	0.044	107.000	107.000	6255.000	6330.000	10.000	10.000	2436.000	9.000	0.996	10.000	10.000	2436.000	9.000	0.996
53	aa-rwlt-coding-agent-056	53	78226	211	77932	531.557	2.098	789.853	433.698	2.686	48.774	20.896	31.772	2.877	15.852	5.677	300.558	6.863	-2.842	0.585		278.316				0.000	113.141	433.698	6.094	0.022	109.000	109.000	6333.000	6358.000	5.000	5.000	2445.000	4.000	0.998	5.000	5.000	2445.000	4.000	0.998
54	aa-rwlt-coding-agent-056	54	78348	59	78226	536.234	1.491	567.832	442.699	2.583	48.946	20.190	35.156	2.828	15.579	5.674	306.379	6.514	-1.614	0.464		284.400				0.000	85.944	442.699	7.312	0.026	111.000	111.000	6361.000	6380.000	6.000	6.000	2449.000	5.000	0.998	6.000	6.000	2449.000	5.000	0.998
55	aa-rwlt-coding-agent-056	55	78507	58	78348	543.794	0.144	548.379	450.969	2.597	49.848	20.656	47.516	3.384	15.905	5.878	301.150	6.295	-2.735	0.475		279.436				0.000	100.019	450.969	14.625	0.052	113.000	113.000	6383.000	6405.000	12.000	12.000	2454.000	11.000	0.996	12.000	12.000	2454.000	11.000	0.996
56	aa-rwlt-coding-agent-056	56	78870	58	78507	554.060	0.608	571.973	502.471	2.748	50.146	31.624	59.823	2.941	16.271	6.157	328.644	6.379	-2.802	0.540		305.995				0.000	232.189	502.471	39.000	0.127	115.000	115.000	6408.000	6459.000	32.000	32.000	2465.000	31.000	0.988	32.000	32.000	2465.000	31.000	0.988
57	aa-rwlt-coding-agent-056	57	79846	152	78870	606.239	1.428	756.451	515.649	2.745	52.762	31.790	55.902	2.906	16.480	6.213	343.496	6.662	-3.849	0.542		320.726				0.000	1405.780	515.649	37.781	0.118	117.000	117.000	6462.000	6773.000	31.000	31.000	2496.000	30.000	0.988	31.000	31.000	2496.000	30.000	0.988
58	aa-rwlt-coding-agent-056	58	80821	818	79846	619.078	1.723	1944.418	528.802	3.098	51.951	31.878	61.205	3.128	16.507	6.020	349.858	6.974	-2.321	0.504		327.302				0.000	108.982	528.802	31.688	0.097	119.000	119.000	6776.000	6800.000	26.000	26.000	2526.000	25.000	0.990	26.000	26.000	2526.000	25.000	0.990
59	aa-rwlt-coding-agent-056	59	81604	71	80821	632.013	0.666	659.615	496.112	2.744	52.133	31.926	30.633	2.892	16.655	6.094	348.820	6.259	-2.510	0.466		325.727				0.000	226.099	496.112	3.656	0.011	121.000	121.000	6803.000	6853.000	3.000	3.000	2551.000	2.000	0.999	3.000	3.000	2551.000	2.000	0.999
60	aa-rwlt-coding-agent-056	60	81687	117	81604	598.928	3.303	744.571	141.541	0.683	7.014	6.281	95.666	2.411	3.898	1.231	21.329	5.523	-2.959	0.464		6.342				0.000	99.887	141.541	354.656	55.922	123.000	123.000	6856.000	6880.000	291.000	291.000	65.000	290.000	0.183	291.000	291.000	65.000	290.000	0.183
61	aa-rwlt-coding-agent-011	0	11332	61	2068	224.221	1.169	249.022	58.368	0.677	7.215	5.710	23.095	2.617	3.678	1.225	10.935	5.566	-2.840	0.490		5.511				0.000	79.079	58.368	19.500	3.538	125.000	125.000	6883.000	6902.000	16.000	16.000	355.000	15.000	0.959	16.000	16.000	355.000	15.000	0.959
62	aa-rwlt-coding-agent-011	1	11834	40	11332	141.069	0.021	144.984	56.718	0.731	7.636	5.683	22.979	2.309	3.741	1.219	9.472	5.456	-2.988	0.480		3.973				0.000	87.294	56.718	7.312	1.841	127.000	127.000	6905.000	6926.000	6.000	6.000	370.000	5.000	0.987	6.000	6.000	370.000	5.000	0.987
63	aa-rwlt-coding-agent-011	2	11976	49	11834	139.785	0.631	152.111	55.003	0.649	7.783	5.643	21.010	2.609	3.790	1.214	8.851	5.480	-2.522	0.496		3.656				0.000	58.667	55.003	3.656	1.000	129.000	129.000	6929.000	6943.000	3.000	3.000	375.000	2.000	0.995	3.000	3.000	375.000	2.000	0.995
64	aa-rwlt-coding-agent-011	3	12047	32	11976	122.211	0.014	123.386	91.213	0.774	8.833	6.482	52.134	2.121	4.120	1.586	12.421	5.756	-3.394	0.380		6.049				0.000	113.894	91.213	91.406	15.111	131.000	131.000	6946.000	6973.000	75.000	75.000	377.000	74.000	0.836	75.000	75.000	377.000	74.000	0.836
65	aa-rwlt-coding-agent-011	4	14406	61	12047	176.559	2.520	214.631	87.363	0.834	10.273	5.083	45.193	2.396	4.471	1.454	14.553	5.940	-3.276	0.442		8.263				0.000	102.312	87.363	74.344	8.997	133.000	133.000	6976.000	7000.000	61.000	61.000	451.000	60.000	0.883	61.000	61.000	451.000	60.000	0.883
66	aa-rwlt-coding-agent-011	5	16331	60	14406	174.530	0.756	199.000	75.496	0.923	10.607	5.371	33.630	1.900	4.511	1.476	14.421	5.639	-3.499	0.517		7.783				0.000	87.798	75.496	20.719	2.662	135.000	135.000	7003.000	7024.000	17.000	17.000	511.000	16.000	0.970	17.000	17.000	511.000	16.000	0.970
67	aa-rwlt-coding-agent-011	6	16847	58	16331	160.414	0.384	173.001	65.068	0.912	11.056	5.404	22.840	1.950	4.593	1.527	14.014	6.032	-3.782	0.522		7.260				0.000	67.126	65.068	15.844	2.182	137.000	137.000	7027.000	7043.000	13.000	13.000	527.000	12.000	0.978	13.000	13.000	527.000	12.000	0.978
68	aa-rwlt-coding-agent-011	7	17246	55	16847	142.539	0.003	142.903	126.155	1.055	13.137	6.276	70.373	2.569	5.440	1.774	22.392	5.893	-3.256	0.502		14.185				0.000	572.583	126.155	145.031	10.224	139.000	139.000	7046.000	7181.000	120.000	120.000	539.000	119.000	0.819	119.000	119.000	540.000	118.000	0.821
69	aa-rwlt-coding-agent-011	8	21039	313	17246	212.633	1.910	709.401	79.080	1.120	13.532	6.515	23.355	2.081	5.404	1.847	22.113	5.665	-3.056	0.504		14.329				0.000	76.058	79.080	9.750	0.680	141.000	141.000	7184.000	7202.000	8.000	8.000	658.000	7.000	0.989	8.000	8.000	658.000	7.000	0.989
70	aa-rwlt-coding-agent-011	9	21268	50	21039	165.250	0.004	165.627	78.768	1.135	13.834	6.485	23.373	2.305	5.428	1.898	21.005	5.655	-2.846	0.496		13.487				0.000	63.535	78.768	13.406	0.994	143.000	143.000	7205.000	7220.000	11.000	11.000	665.000	10.000	0.985	11.000	11.000	665.000	10.000	0.985
71	aa-rwlt-coding-agent-011	10	21574	38	21268	152.583	0.010	152.960	79.534	1.156	14.213	6.432	24.100	2.187	5.531	1.937	21.027	5.575	-3.114	0.490		13.217				0.000	67.578	79.534	9.750	0.738	145.000	145.000	7223.000	7239.000	8.000	8.000	675.000	7.000	0.990	8.000	8.000	675.000	7.000	0.990
72	aa-rwlt-coding-agent-011	11	21811	54	21574	157.902	0.004	158.278	80.808	1.172	14.822	6.596	22.850	2.517	5.614	1.948	20.781	5.664	-1.640	0.484		13.167				0.000	97.284	80.808	9.750	0.740	147.000	147.000	7242.000	7265.000	8.000	8.000	682.000	7.000	0.990	8.000	8.000	682.000	7.000	0.990
73	aa-rwlt-coding-agent-011	12	22019	55	21811	166.279	1.320	187.780	95.209	1.235	15.715	6.926	36.238	2.125	5.875	2.028	22.032	5.613	-3.076	0.498		13.941				0.000	224.354	95.209	34.125	2.448	149.000	149.000	7268.000	7321.000	28.000	28.000	689.000	27.000	0.962	28.000	28.000	689.000	27.000	0.962
74	aa-rwlt-coding-agent-011	13	22910	131	22019	182.269	1.956	331.154	94.891	1.179	16.244	7.110	33.321	2.500	5.836	2.014	23.834	5.518	-3.156	0.491		15.356				0.000	2111.252	94.891	23.156	1.508	151.000	151.000	7324.000	7819.000	20.000	20.000	716.000	19.000	0.974	19.000	19.000	717.000	18.000	0.976
