conversation_id	conversation_idx	isl_agg_r7	isl_disagg_r7b_si1	isl_match	osl_agg_r7	osl_disagg_r7b_si1	cached_agg_r7	cached_disagg_r7b_si1	cache_ratio_agg_r7	cache_ratio_disagg_r7b_si1	cache_blocks_delta	warm_prefix	unique_agg_r7	unique_disagg_r7b_si1	ttft_agg_r7_ms	ttft_disagg_r7b_si1_ms	ttft_delta_ms	itl_agg_r7_ms	itl_disagg_r7b_si1_ms
aa-rwlt-coding-agent-010	46	47579	47582	false	59	85	46511	46511	0.9776	0.9775	0	true	1068	1071	199.197	243.203	44.006	1.353	2.107
aa-rwlt-coding-agent-010	47	47666	47669	false	49	66	47582	47582	0.9982	0.9982	0	true	84	87	173.501	216.580	43.079	0.425	2.115
aa-rwlt-coding-agent-010	48	47867	47870	false	47	83	47669	47669	0.9959	0.9958	0	true	198	201	175.037	219.827	44.790	0.504	2.682
aa-rwlt-coding-agent-010	49	48247	48250	false	55	55	47870	47870	0.9922	0.9921	0	true	377	380	181.828	226.759	44.932	0.352	2.232
aa-rwlt-coding-agent-010	50	48780	48783	false	80	80	48250	48250	0.9891	0.9891	0	true	530	533	187.634	240.015	52.381	2.645	1.832
aa-rwlt-coding-agent-010	51	49014	49017	false	139	114	48783	48783	0.9953	0.9952	0	true	231	234	179.645	227.564	47.919	2.165	1.901
aa-rwlt-coding-agent-010	52	49853	49856	false	68	59	49017	49017	0.9832	0.9832	0	true	836	839	193.514	247.538	54.024	3.722	2.340
aa-rwlt-coding-agent-010	53	49927	49930	false	322	346	49856	49856	0.9986	0.9985	0	true	71	74	184.779	235.064	50.285	1.988	1.908
aa-rwlt-coding-agent-010	54	51009	51012	false	2206	713	49930	49930	0.9788	0.9788	0	true	1079	1082	210.269	267.910	57.641	1.519	1.792
aa-rwlt-coding-agent-010	55	52928	52931	false	678	1477	51012	51012	0.9638	0.9637	0	true	1916	1919	301.438	299.388	-2.051	1.796	1.721
aa-rwlt-coding-agent-010	56	54368	54371	false	265	555	52936	52931	0.9737	0.9735	-5	true	1432	1440	233.361	295.179	61.818	2.022	1.765
aa-rwlt-coding-agent-010	57	56360	56363	false	2098	1411	54371	54371	0.9647	0.9647	0	true	1989	1992	236.495	324.833	88.338	1.440	1.541
aa-rwlt-coding-agent-010	58	56547	56550	false	3192	1022	56365	56363	0.9968	0.9967	-2	true	182	187	255.689	275.248	19.559	1.426	1.377
aa-rwlt-coding-agent-010	59	58111	58114	false	87	128	56554	56550	0.9732	0.9731	-4	true	1557	1564	338.092	332.262	-5.830	1.753	2.158
aa-rwlt-coding-agent-010	60	58939	58942	false	234	199	58114	58114	0.9860	0.9860	0	true	825	828	209.410	309.851	100.442	2.153	1.751
aa-rwlt-coding-agent-010	61	59743	59746	false	66	47	58942	58942	0.9866	0.9865	0	true	801	804	211.312	315.666	104.354	0.865	2.254
aa-rwlt-coding-agent-010	62	60482	60485	false	263	653	59746	59746	0.9878	0.9878	0	true	736	739	212.129	321.970	109.841	2.159	1.777
aa-rwlt-coding-agent-010	63	61141	61144	false	968	539	60485	60485	0.9893	0.9892	0	true	656	659	211.598	326.380	114.782	1.531	1.767
aa-rwlt-coding-agent-010	64	62393	62396	false	214	666	61145	61144	0.9800	0.9799	-1	true	1248	1252	246.817	352.193	105.376	1.921	1.567
aa-rwlt-coding-agent-010	65	62835	62838	false	333	226	62396	62396	0.9930	0.9930	0	true	439	442	201.679	325.804	124.126	1.923	2.302
aa-rwlt-coding-agent-010	66	63366	63369	false	60	94	62838	62838	0.9917	0.9916	0	true	528	531	217.553	342.138	124.585	0.921	2.032
aa-rwlt-coding-agent-010	67	64139	64142	false	352	243	63373	63369	0.9881	0.9879	-4	true	766	773	218.879	349.972	131.093	1.391	1.813
aa-rwlt-coding-agent-010	68	64509	64512	false	1518	140	64150	64142	0.9944	0.9943	-8	true	359	370	206.656	336.681	130.025	1.659	2.108
aa-rwlt-coding-agent-010	69	64844	64847	false	417	430	64514	64512	0.9949	0.9948	-2	true	330	335	251.265	340.063	88.798	1.223	1.373
aa-rwlt-coding-agent-010	70	65307	65310	false	3637	555	64848	64847	0.9930	0.9929	-1	true	459	463	207.831	346.874	139.043	1.551	1.850
aa-rwlt-coding-agent-010	71	65934	65937	false	498	514	65312	65310	0.9906	0.9905	-2	true	622	627	322.296	372.168	49.872	1.218	1.359
aa-rwlt-coding-agent-010	72	66487	66490	false	596	2130	65938	65937	0.9917	0.9917	-1	true	549	553	222.967	369.073	146.106	1.788	1.564
aa-rwlt-coding-agent-010	73	67136	67139	false	77	89	66490	66490	0.9904	0.9903	0	true	646	649	242.490	377.949	135.460	1.008	2.472
aa-rwlt-coding-agent-010	74	67952	67955	false	67	101	67143	67139	0.9881	0.9880	-4	true	809	816	228.265	384.393	156.128	1.173	2.755
aa-rwlt-coding-agent-010	75	68684	68687	false	1752	3517	67957	67955	0.9894	0.9893	-2	true	727	732	227.798	389.485	161.686	1.526	1.638
aa-rwlt-coding-agent-010	76	68847	68850	false	25	61	68688	68687	0.9977	0.9976	-1	true	159	163	202.498	375.940	173.442		1.681
aa-rwlt-coding-agent-010	77	69257	69260	false	446	320	68848	68850	0.9941	0.9941	2	true	409	410	216.284	381.563	165.279	1.677	1.706
aa-rwlt-coding-agent-010	78	69544	69547	false	166	161	69260	69260	0.9959	0.9959	0	true	284	287	214.207	382.864	168.657	1.919	1.785
aa-rwlt-coding-agent-011	0	11331	11333	false	61	64	2068	2068	0.1825	0.1825	0	false	9263	9265	194.584	137.544	-57.040	1.556	2.363
aa-rwlt-coding-agent-011	1	11833	11835	false	40	37	11334	11333	0.9578	0.9576	-1	true	499	502	118.810	65.377	-53.432	0.008	3.051
aa-rwlt-coding-agent-011	2	11975	11977	false	56	34	11836	11835	0.9884	0.9881	-1	true	139	142	119.293	63.298	-55.995	1.497	3.303
aa-rwlt-coding-agent-011	3	12046	12048	false	45	47	11978	11977	0.9944	0.9941	-1	true	68	71	124.361	61.477	-62.885	0.005	2.487
aa-rwlt-coding-agent-011	4	14405	14407	false	68	73	12049	12048	0.8364	0.8363	-1	true	2356	2359	151.862	98.646	-53.217	2.079	2.160
aa-rwlt-coding-agent-011	5	16330	16332	false	75	54	14408	14407	0.8823	0.8821	-1	true	1922	1925	144.946	96.829	-48.117	1.146	2.449
aa-rwlt-coding-agent-011	6	16846	16848	false	58	66	16333	16332	0.9695	0.9694	-1	true	513	516	139.077	84.577	-54.500	0.510	1.835
aa-rwlt-coding-agent-011	7	17245	17247	false	55	55	16852	16848	0.9772	0.9769	-4	true	393	399	123.064	76.337	-46.727	0.003	1.646
aa-rwlt-coding-agent-011	8	21038	21040	false	510	261	17254	17247	0.8201	0.8197	-7	true	3784	3793	180.644	137.298	-43.345	1.911	1.777
aa-rwlt-coding-agent-011	9	21267	21269	false	50	50	21041	21040	0.9894	0.9892	-1	true	226	229	149.070	101.599	-47.471	0.004	2.096
aa-rwlt-coding-agent-011	10	21573	21575	false	42	39	21270	21269	0.9860	0.9858	-1	true	303	306	124.803	88.670	-36.134	0.008	2.622
aa-rwlt-coding-agent-011	11	21810	21812	false	52	53	21576	21575	0.9893	0.9891	-1	true	234	237	132.509	87.918	-44.590	0.276	2.036
aa-rwlt-coding-agent-011	12	22018	22020	false	52	479	21813	21812	0.9907	0.9906	-1	true	205	208	133.870	92.349	-41.521	1.854	1.852
aa-rwlt-coding-agent-011	13	22909	22911	false	313	135	22021	22020	0.9612	0.9611	-1	true	888	891	147.799	107.734	-40.065	1.986	1.594
aa-rwlt-coding-agent-011	14	23492	23494	false	49	1374	22912	22911	0.9753	0.9752	-1	true	580	583	136.782	106.932	-29.850	0.011	1.773
aa-rwlt-coding-agent-011	15	27222	27224	false	261	996	23495	23494	0.8631	0.8630	-1	true	3727	3730	193.199	169.720	-23.479	2.026	1.802
aa-rwlt-coding-agent-011	16	28018	28020	false	168	207	27225	27224	0.9717	0.9716	-1	true	793	796	149.664	120.355	-29.308	1.987	2.145
aa-rwlt-coding-agent-011	17	28538	28540	false	1202	1501	28021	28020	0.9819	0.9818	-1	true	517	520	145.391	124.459	-20.932	1.873	1.722
aa-rwlt-coding-agent-011	18	29707	29709	false	130	1169	28541	28540	0.9607	0.9607	-1	true	1166	1169	215.015	143.896	-71.119	2.390	1.716
aa-rwlt-coding-agent-011	19	30237	30239	false	50	50	29710	29709	0.9826	0.9825	-1	true	527	530	147.633	128.916	-18.717	0.004	1.877
aa-rwlt-coding-agent-011	20	30730	30732	false	2021	1069	30240	30239	0.9841	0.9840	-1	true	490	493	149.615	129.948	-19.667	1.608	1.798
aa-rwlt-coding-agent-011	21	31653	31655	false	183	1773	30735	30732	0.9710	0.9708	-3	true	918	923	243.341	143.658	-99.682	2.127	1.644
aa-rwlt-coding-agent-011	22	32272	32274	false	705	582	31656	31655	0.9809	0.9808	-1	true	616	619	155.842	140.166	-15.676	1.976	1.702
aa-rwlt-coding-agent-011	23	32627	32629	false	53	97	32281	32274	0.9894	0.9891	-7	true	346	355	184.830	137.913	-46.917	0.003	1.911
aa-rwlt-coding-agent-011	24	33193	33195	false	462	73	32630	32629	0.9830	0.9829	-1	true	563	566	161.038	146.954	-14.084	1.773	1.994
aa-rwlt-coding-agent-011	25	34096	34098	false	817	534	33197	33195	0.9736	0.9735	-2	true	899	903	165.547	151.985	-13.562	1.311	1.360
aa-rwlt-coding-agent-011	26	36171	36173	false	1772	367	34099	34098	0.9427	0.9426	-1	true	2072	2075	211.884	187.059	-24.825	1.672	1.331
aa-rwlt-coding-agent-011	27	37096	37098	false	165	153	36178	36173	0.9753	0.9751	-5	true	918	925	238.884	164.982	-73.901	1.925	1.844
aa-rwlt-coding-agent-011	28	37622	37624	false	1630	2095	37099	37098	0.9861	0.9860	-1	true	523	526	162.991	168.416	5.425	1.684	1.522
aa-rwlt-coding-agent-011	29	38518	38520	false	91	92	37625	37624	0.9768	0.9767	-1	true	893	896	234.120	174.322	-59.798	1.828	1.789
aa-rwlt-coding-agent-011	30	38713	38715	false	67	67	38521	38520	0.9950	0.9950	-1	true	192	195	160.359	163.111	2.752	0.540	1.993
aa-rwlt-coding-agent-011	31	39070	39072	false	246	420	38716	38715	0.9909	0.9909	-1	true	354	357	162.178	165.955	3.776	1.696	1.720
aa-rwlt-coding-agent-011	32	40020	40022	false	269	86	39073	39072	0.9763	0.9763	-1	true	947	950	171.940	182.352	10.412	1.725	2.277
aa-rwlt-coding-agent-011	33	40688	40690	false	444	533	40023	40022	0.9837	0.9836	-1	true	665	668	176.190	190.274	14.084	1.677	1.597
aa-rwlt-coding-agent-011	34	41361	41363	false	268	350	40691	40690	0.9838	0.9837	-1	true	670	673	181.383	187.508	6.125	1.489	1.717
aa-rwlt-coding-agent-011	35	42435	42437	false	75	75	41365	41363	0.9748	0.9747	-2	true	1070	1074	195.454	204.252	8.798	0.732	1.944
aa-rwlt-coding-agent-011	36	42831	42833	false	140	120	42438	42437	0.9908	0.9908	-1	true	393	396	164.318	186.676	22.358	1.616	1.860
aa-rwlt-coding-agent-011	37	43071	43073	false	166	155	42838	42833	0.9946	0.9944	-5	true	233	240	170.217	185.158	14.940	1.508	1.581
aa-rwlt-coding-agent-011	38	43276	43278	false	96	94	43075	43073	0.9954	0.9953	-2	true	201	205	166.040	186.673	20.633	1.270	1.834
aa-rwlt-coding-agent-011	39	43740	43742	false	506	581	43280	43278	0.9895	0.9894	-2	true	460	464	172.830	195.169	22.339	1.303	1.368
aa-rwlt-coding-agent-011	40	44292	44294	false	100	138	43743	43742	0.9876	0.9875	-1	true	549	552	185.048	204.300	19.251	1.988	1.762
aa-rwlt-coding-agent-011	41	44623	44625	false	412	378	44301	44294	0.9928	0.9926	-7	true	322	331	169.228	199.302	30.074	1.404	1.386
aa-rwlt-coding-agent-011	42	45064	45066	false	77	511	44626	44625	0.9903	0.9902	-1	true	438	441	181.504	209.495	27.992	3.796	1.865
aa-rwlt-coding-agent-011	43	45730	45732	false	80	91	45067	45066	0.9855	0.9854	-1	true	663	666	180.709	216.092	35.383	1.232	2.062
aa-rwlt-coding-agent-011	44	45903	45905	false	448	847	45734	45732	0.9963	0.9962	-2	true	169	173	169.466	204.870	35.404	1.986	1.728
aa-rwlt-coding-agent-011	45	46665	46667	false	110	281	45906	45905	0.9837	0.9837	-1	true	759	762	194.773	326.262	131.490	2.508	1.777
aa-rwlt-coding-agent-011	46	47358	47360	false	125	93	46668	46667	0.9854	0.9854	-1	true	690	693	187.782	231.203	43.421	2.548	2.291
aa-rwlt-coding-agent-011	47	47652	47654	false	63	63	47361	47360	0.9939	0.9938	-1	true	291	294	174.364	219.499	45.135	0.213	1.717
aa-rwlt-coding-agent-011	48	47895	47897	false	228	238	47655	47654	0.9950	0.9949	-1	true	240	243	186.996	217.727	30.731	1.523	1.553
aa-rwlt-coding-agent-011	49	48169	48171	false	56	56	47900	47897	0.9944	0.9943	-3	true	269	274	176.444	219.862	43.419	0.239	2.239
aa-rwlt-coding-agent-011	50	48558	48560	false	161	213	48174	48171	0.9921	0.9920	-3	true	384	389	192.888	225.779	32.891	1.682	1.469
aa-rwlt-coding-agent-011	51	48826	48828	false	219	219	48563	48560	0.9946	0.9945	-3	true	263	268	183.547	226.897	43.350	1.303	1.314
aa-rwlt-coding-agent-011	52	49051	49053	false	297	430	48836	48828	0.9956	0.9954	-8	true	215	225	177.056	225.720	48.664	1.625	1.403
aa-rwlt-coding-agent-011	53	49179	49181	false	60	60	49056	49053	0.9975	0.9974	-3	true	123	128	178.870	226.118	47.248	0.004	1.733
aa-rwlt-coding-agent-011	54	49426	49428	false	190	190	49183	49181	0.9951	0.9950	-2	true	243	247	182.663	230.955	48.292	1.343	1.345
aa-rwlt-coding-agent-011	55	49585	49587	false	775	246	49429	49428	0.9969	0.9968	-1	true	156	159	179.059	228.763	49.704	1.644	1.962
aa-rwlt-coding-agent-011	56	49585	49587	false	629	246	49584	49586	1.0000	1.0000	2	true	1	1	190.340	229.330	38.990	1.715	1.933
aa-rwlt-coding-agent-011	57	50757	50759	false	137	1078	49592	49587	0.9770	0.9769	-5	true	1165	1172	221.867	266.747	44.880	2.367	1.612
aa-rwlt-coding-agent-011	58	51838	51840	false	499	499	50760	50759	0.9792	0.9791	-1	true	1078	1081	209.383	272.833	63.450	1.270	1.320
aa-rwlt-coding-agent-011	59	52167	52169	false	466	1462	51843	51840	0.9938	0.9937	-3	true	324	329	231.164	248.794	17.630	1.556	1.392
aa-rwlt-coding-agent-011	60	53114	53116	false	389	628	52175	52169	0.9823	0.9822	-6	true	939	947	203.918	272.204	68.286	1.557	1.596
aa-rwlt-coding-agent-011	61	53464	53466	false	984	2115	53121	53116	0.9936	0.9935	-5	true	343	350	188.896	261.751	72.855	1.372	1.518
aa-rwlt-coding-agent-011	62	54231	54233	false	320	315	53467	53466	0.9859	0.9859	-1	true	764	767	224.356	279.657	55.300	1.445	1.667
aa-rwlt-coding-agent-051	0	9563	9561	false	57	364	2110	2110	0.2206	0.2207	0	false	7453	7451	184.757	111.492	-73.265	2.168	1.927
aa-rwlt-coding-agent-051	1	17874	17872	false	124	240	9566	9561	0.5352	0.5350	-5	true	8308	8311	211.347	162.702	-48.645	2.403	1.991
aa-rwlt-coding-agent-051	2	18250	18248	false	335	187	17877	17872	0.9796	0.9794	-5	true	373	376	125.118	76.933	-48.185	2.115	1.900
aa-rwlt-coding-agent-051	3	19060	19058	false	60	147	18255	18248	0.9578	0.9575	-7	true	805	810	129.076	88.072	-41.004	1.971	2.184
aa-rwlt-coding-agent-051	4	20374	20372	false	53	53	19063	19058	0.9357	0.9355	-5	true	1311	1314	139.274	93.745	-45.529	0.710	2.921
aa-rwlt-coding-agent-051	5	20923	20921	false	57	57	20377	20372	0.9739	0.9738	-5	true	546	549	129.936	83.908	-46.028	1.312	2.357
aa-rwlt-coding-agent-051	6	21456	21454	false	48	48	20926	20921	0.9753	0.9752	-5	true	530	533	137.686	86.918	-50.768	0.005	2.387
aa-rwlt-coding-agent-051	7	28414	28412	false	201	104	21459	21454	0.7552	0.7551	-5	true	6955	6958	232.894	207.066	-25.829	1.796	1.903
aa-rwlt-coding-agent-051	8	29704	29702	false	216	511	28417	28412	0.9567	0.9566	-5	true	1287	1290	164.126	130.218	-33.908	1.688	1.683
aa-rwlt-coding-agent-051	9	30237	30235	false	269	154	29707	29702	0.9825	0.9824	-5	true	530	533	142.698	120.616	-22.082	1.620	1.771
aa-rwlt-coding-agent-051	10	30444	30442	false	28	44	30240	30235	0.9933	0.9932	-5	true	204	207	122.739	119.857	-2.882		2.468
aa-rwlt-coding-agent-051	11	30825	30823	false	38	39	30446	30442	0.9877	0.9876	-4	true	379	381	127.913	119.181	-8.732	0.005	2.588
aa-rwlt-coding-agent-051	12	31226	31224	false	466	499	30828	30823	0.9873	0.9872	-5	true	398	401	145.631	119.244	-26.387	1.627	1.551
aa-rwlt-coding-agent-051	13	32328	32326	false	210	1158	31240	31224	0.9663	0.9659	-16	true	1088	1102	174.045	142.597	-31.447	1.936	1.653
aa-rwlt-coding-agent-051	14	33968	33966	false	402	298	32331	32326	0.9518	0.9517	-5	true	1637	1640	181.094	169.423	-11.671	1.813	1.817
aa-rwlt-coding-agent-051	15	37552	37550	false	48	425	33971	33966	0.9046	0.9046	-5	true	3581	3584	231.147	213.192	-17.956	0.401	1.693
aa-rwlt-coding-agent-051	16	37867	37865	false	268	1350	37555	37550	0.9918	0.9917	-5	true	312	315	150.556	150.017	-0.539	2.014	1.672
aa-rwlt-coding-agent-051	17	40849	40847	false	59	58	37870	37865	0.9271	0.9270	-5	true	2979	2982	208.631	225.921	17.291	1.594	2.226
aa-rwlt-coding-agent-051	18	41233	41231	false	241	205	40852	40847	0.9908	0.9907	-5	true	381	384	152.932	170.495	17.563	2.004	1.951
aa-rwlt-coding-agent-051	19	43646	43644	false	306	312	41236	41231	0.9448	0.9447	-5	true	2410	2413	208.776	226.257	17.480	1.600	1.668
aa-rwlt-coding-agent-051	20	43773	43771	false	41	41	43652	43644	0.9972	0.9971	-8	true	121	127	143.988	185.323	41.335	0.005	2.265
aa-rwlt-coding-agent-051	21	44173	44171	false	307	468	43784	43771	0.9912	0.9909	-13	true	389	400	158.545	185.356	26.811	1.744	1.627
aa-rwlt-coding-agent-051	22	45141	45139	false	53	46	44184	44171	0.9788	0.9786	-13	true	957	968	188.648	203.161	14.513	0.145	2.375
aa-rwlt-coding-agent-051	23	45230	45228	false	141	76	45144	45139	0.9981	0.9980	-5	true	86	89	157.968	186.594	28.626	2.596	2.169
aa-rwlt-coding-agent-051	24	45382	45380	false	89	108	45233	45228	0.9967	0.9967	-5	true	149	152	160.242	190.916	30.674	2.705	2.064
aa-rwlt-coding-agent-051	25	45438	45436	false	115	104	45385	45380	0.9988	0.9988	-5	true	53	56	158.705	190.639	31.934	2.271	2.114
aa-rwlt-coding-agent-051	26	45655	45653	false	143	189	45444	45436	0.9954	0.9952	-8	true	211	217	160.849	192.720	31.871	2.046	2.074
aa-rwlt-coding-agent-051	27	45746	45744	false	220	303	45658	45653	0.9981	0.9980	-5	true	88	91	159.622	193.868	34.246	2.004	1.824
aa-rwlt-coding-agent-051	28	48748	48746	false	73	61	45749	45744	0.9385	0.9384	-5	true	2999	3002	229.166	276.328	47.162	2.067	2.123
aa-rwlt-coding-agent-051	29	48816	48814	false	40	58	48751	48746	0.9987	0.9986	-5	true	65	68	167.456	225.489	58.032	0.433	2.329
aa-rwlt-coding-agent-051	30	49314	49312	false	57	60	48819	48814	0.9900	0.9899	-5	true	495	498	168.216	218.764	50.548	0.462	2.160
aa-rwlt-coding-agent-051	31	49751	49749	false	59	59	49317	49312	0.9913	0.9912	-5	true	434	437	167.870	224.296	56.426	0.690	2.163
aa-rwlt-coding-agent-051	32	50434	50432	false	136	170	49754	49749	0.9865	0.9865	-5	true	680	683	192.574	235.101	42.526	1.985	2.016
aa-rwlt-coding-agent-051	33	50971	50969	false	117	184	50437	50432	0.9895	0.9895	-5	true	534	537	192.023	243.798	51.775	1.904	2.171
aa-rwlt-coding-agent-051	34	51535	51533	false	263	245	50974	50969	0.9891	0.9891	-5	true	561	564	182.173	243.133	60.960	1.811	1.964
aa-rwlt-coding-agent-051	35	54399	54397	false	52	65	51538	51533	0.9474	0.9474	-5	true	2861	2864	245.238	321.195	75.957	1.120	2.164
